"sumCar","amount","tick"
7.0,7.0,1.0
6.5,13.0,2.0
6.0,18.0,3.0
6.25,25.0,4.0
6.6,33.0,5.0
6.1666666667,37.0,6.0
6.7142857143,47.0,7.0
7.5,60.0,8.0
6.7777777778,61.0,9.0
6.2,62.0,10.0
6.5454545455,72.0,11.0
6.5833333333,79.0,12.0
6.6153846154,86.0,13.0
6.7142857143,94.0,14.0
6.6666666667,100.0,15.0
6.5625,105.0,16.0
6.4117647059,109.0,17.0
6.2777777778,113.0,18.0
6.4210526316,122.0,19.0
6.6,132.0,20.0
6.4761904762,136.0,21.0
6.5,143.0,22.0
6.5652173913,151.0,23.0
6.5833333333,158.0,24.0
6.56,164.0,25.0
6.4615384615,168.0,26.0
6.4814814815,175.0,27.0
6.5357142857,183.0,28.0
6.5517241379,190.0,29.0
6.5666666667,197.0,30.0
6.6451612903,206.0,31.0
6.59375,211.0,32.0
6.4848484848,214.0,33.0
6.5588235294,223.0,34.0
6.5714285714,230.0,35.0
6.5555555556,236.0,36.0
6.5135135135,241.0,37.0
6.5,247.0,38.0
6.5384615385,255.0,39.0
6.55,262.0,40.0
6.5853658537,270.0,41.0
6.6428571429,279.0,42.0
6.6511627907,286.0,43.0
6.6136363636,291.0,44.0
6.5333333333,294.0,45.0
6.5652173913,302.0,46.0
6.5319148936,307.0,47.0
6.5,312.0,48.0
6.5102040816,319.0,49.0
6.54,327.0,50.0
6.568627451,335.0,51.0
6.5,338.0,52.0
6.5094339623,345.0,53.0
6.5925925926,356.0,54.0
6.6181818182,364.0,55.0
6.5535714286,367.0,56.0
6.5964912281,376.0,57.0
6.5862068966,382.0,58.0
6.5762711864,388.0,59.0
6.5833333333,395.0,60.0
6.6229508197,404.0,61.0
6.6129032258,410.0,62.0
6.6031746032,416.0,63.0
6.546875,419.0,64.0
6.5230769231,424.0,65.0
6.6060606061,436.0,66.0
6.5671641791,440.0,67.0
6.5588235294,446.0,68.0
6.5507246377,452.0,69.0
6.5,455.0,70.0
6.4788732394,460.0,71.0
6.5,468.0,72.0
6.5068493151,475.0,73.0
6.4594594595,478.0,74.0
6.4266666667,482.0,75.0
6.4078947368,487.0,76.0
6.4545454545,497.0,77.0
6.5,507.0,78.0
6.4810126582,512.0,79.0
6.4875,519.0,80.0
6.4691358025,524.0,81.0
6.4634146341,530.0,82.0
6.4698795181,537.0,83.0
6.4880952381,545.0,84.0
6.4941176471,552.0,85.0
6.488372093,558.0,86.0
6.4597701149,562.0,87.0
6.4204545455,565.0,88.0
6.4382022472,573.0,89.0
6.4555555556,581.0,90.0
6.4285714286,585.0,91.0
6.4130434783,590.0,92.0
6.4193548387,597.0,93.0
6.4468085106,606.0,94.0
6.4736842105,615.0,95.0
6.5104166667,625.0,96.0
6.5567010309,636.0,97.0
6.5510204082,642.0,98.0
6.5252525253,646.0,99.0
6.49,649.0,100.0
6.5049504951,657.0,101.0
6.5098039216,664.0,102.0
6.4951456311,669.0,103.0
6.4711538462,673.0,104.0
6.4857142857,681.0,105.0
6.4905660377,688.0,106.0
6.4485981308,690.0,107.0
6.4537037037,697.0,108.0
6.5229357798,711.0,109.0
6.5,715.0,110.0
6.4594594595,717.0,111.0
6.4553571429,723.0,112.0
6.4690265487,731.0,113.0
