"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1.0,9,6,9,0.3280000000000001
2.0,18,12,18,0.32799999999999946
3.0,28,17,28,0.3386666666666659
4.0,37,22,37,0.3447499999999995
5.0,50,25,50,0.34840000000000065
6.0,63,28,63,0.3513333333333347
7.0,78,30,78,0.35342857142857337
8.0,97,33,97,0.35500000000000226
9.0,116,36,116,0.3562222222222248
10.0,126,40,126,0.3588000000000029
11.0,135,44,135,0.36090909090909407
12.0,143,57,143,0.36333333333333667
13.0,153,72,153,0.36600000000000354
14.0,162,86,162,0.36828571428571777
15.0,174,90,174,0.37026666666666846
16.0,185,95,185,0.37200000000000033
17.0,196,99,196,0.3735294117647049
18.0,208,105,208,0.3748888888888867
19.0,220,110,220,0.3761052631578915
20.0,227,116,227,0.3771999999999958
21.0,235,120,235,0.3781904761904712
22.0,241,126,241,0.3790909090909033
23.0,247,136,247,0.3799130434782544
24.0,256,148,256,0.38066666666665955
25.0,264,151,264,0.38135999999999226
26.0,272,154,272,0.38199999999999174
27.0,284,158,284,0.3825925925925838
