"sumCar","amount","tick"
7.0,7.0,1.0
5.5,11.0,2.0
5.3333333333,16.0,3.0
4.5,18.0,4.0
4.0,20.0,5.0
4.1666666667,25.0,6.0
4.1428571429,29.0,7.0
4.125,33.0,8.0
4.0,36.0,9.0
3.9,39.0,10.0
4.0,44.0,11.0
5.0,60.0,12.0
5.0769230769,66.0,13.0
5.0,70.0,14.0
5.2666666667,79.0,15.0
5.3125,85.0,16.0
5.1176470588,87.0,17.0
5.0,90.0,18.0
5.0,95.0,19.0
4.9,98.0,20.0
4.8571428571,102.0,21.0
5.1818181818,114.0,22.0
5.2608695652,121.0,23.0
5.2916666667,127.0,24.0
5.2,130.0,25.0
5.0769230769,132.0,26.0
5.037037037,136.0,27.0
5.0,140.0,28.0
4.8620689655,141.0,29.0
4.8333333333,145.0,30.0
4.8387096774,150.0,31.0
5.03125,161.0,32.0
5.0909090909,168.0,33.0
5.1470588235,175.0,34.0
5.2285714286,183.0,35.0
5.2777777778,190.0,36.0
5.1891891892,192.0,37.0
5.0789473684,193.0,38.0
5.0512820513,197.0,39.0
5.0,200.0,40.0
5.0731707317,208.0,41.0
5.1666666667,217.0,42.0
5.0930232558,219.0,43.0
5.1363636364,226.0,44.0
5.1777777778,233.0,45.0
5.1304347826,236.0,46.0
5.1063829787,240.0,47.0
5.0625,243.0,48.0
5.0,245.0,49.0
4.94,247.0,50.0
4.9803921569,254.0,51.0
5.1346153846,267.0,52.0
5.1886792453,275.0,53.0
5.2037037037,281.0,54.0
5.2545454545,289.0,55.0
5.25,294.0,56.0
5.2280701754,298.0,57.0
5.224137931,303.0,58.0
5.186440678,306.0,59.0
5.1666666667,310.0,60.0
5.1639344262,315.0,61.0
5.2419354839,325.0,62.0
5.2857142857,333.0,63.0
5.328125,341.0,64.0
5.3538461538,348.0,65.0
5.3636363636,354.0,66.0
5.3432835821,358.0,67.0
5.3382352941,363.0,68.0
5.2898550725,365.0,69.0
5.2428571429,367.0,70.0
5.2394366197,372.0,71.0
5.3333333333,384.0,72.0
5.3150684932,388.0,73.0
5.3108108108,393.0,74.0
5.3066666667,398.0,75.0
5.3026315789,403.0,76.0
5.2597402597,405.0,77.0
5.2307692308,408.0,78.0
5.1898734177,410.0,79.0
5.15,412.0,80.0
5.1728395062,419.0,81.0
5.2682926829,432.0,82.0
5.265060241,437.0,83.0
5.2619047619,442.0,84.0
5.2823529412,449.0,85.0
5.2558139535,452.0,86.0
5.2643678161,458.0,87.0
5.2840909091,465.0,88.0
5.2359550562,466.0,89.0
5.1777777778,466.0,90.0
5.1868131868,472.0,91.0
5.2934782609,487.0,92.0
5.3010752688,493.0,93.0
5.2978723404,498.0,94.0
5.3157894737,505.0,95.0
5.34375,513.0,96.0
5.3298969072,517.0,97.0
5.2959183673,519.0,98.0
5.2727272727,522.0,99.0
5.26,526.0,100.0
5.2871287129,534.0,101.0
5.3431372549,545.0,102.0
5.3495145631,551.0,103.0
5.3557692308,557.0,104.0
5.3619047619,563.0,105.0
5.3396226415,566.0,106.0
5.308411215,568.0,107.0
5.2962962963,572.0,108.0
5.2568807339,573.0,109.0
5.2272727273,575.0,110.0
5.2162162162,579.0,111.0
5.2857142857,592.0,112.0
5.3008849558,599.0,113.0
5.3070175439,605.0,114.0
5.3130434783,611.0,115.0
5.3362068966,619.0,116.0
5.3162393162,622.0,117.0
5.2966101695,625.0,118.0
5.2521008403,625.0,119.0
5.2333333333,628.0,120.0
5.2892561983,640.0,121.0
5.3442622951,652.0,122.0
5.3333333333,656.0,123.0
5.3306451613,661.0,124.0
5.336,667.0,125.0
5.3333333333,672.0,126.0
5.3070866142,674.0,127.0
5.2890625,677.0,128.0
5.2790697674,681.0,129.0
5.2538461538,683.0,130.0
5.2442748092,687.0,131.0
5.303030303,700.0,132.0
5.3082706767,706.0,133.0
5.328358209,714.0,134.0
5.3407407407,721.0,135.0
5.3602941176,729.0,136.0
5.3430656934,732.0,137.0
5.3333333333,736.0,138.0
5.3021582734,737.0,139.0
5.2857142857,740.0,140.0
5.2765957447,744.0,141.0
5.323943662,756.0,142.0
5.3496503497,765.0,143.0
5.3680555556,773.0,144.0
5.3862068966,781.0,145.0
5.3835616438,786.0,146.0
5.3741496599,790.0,147.0
5.3513513514,792.0,148.0
5.3355704698,795.0,149.0
5.3133333333,797.0,150.0
5.3311258278,805.0,151.0
5.375,817.0,152.0
5.3660130719,821.0,153.0
5.3571428571,825.0,154.0
5.3612903226,831.0,155.0
5.3782051282,839.0,156.0
5.3503184713,840.0,157.0
5.3227848101,841.0,158.0
5.3081761006,844.0,159.0
5.29375,847.0,160.0
5.2857142857,851.0,161.0
5.3209876543,862.0,162.0
5.3312883436,869.0,163.0
5.3292682927,874.0,164.0
5.3272727273,879.0,165.0
5.3373493976,886.0,166.0
5.3413173653,892.0,167.0
5.3392857143,897.0,168.0
5.3195266272,899.0,169.0
5.2941176471,900.0,170.0
5.3040935673,907.0,171.0
5.3488372093,920.0,172.0
5.3583815029,927.0,173.0
5.3620689655,933.0,174.0
5.3657142857,939.0,175.0
5.3863636364,948.0,176.0
5.3898305085,954.0,177.0
5.3764044944,957.0,178.0
5.3519553073,958.0,179.0
5.35,963.0,180.0
5.364640884,971.0,181.0
5.4010989011,983.0,182.0
5.3770491803,984.0,183.0
5.3695652174,988.0,184.0
5.372972973,994.0,185.0
5.3870967742,1002.0,186.0
5.3689839572,1004.0,187.0
5.3510638298,1006.0,188.0
5.3386243386,1009.0,189.0
5.3210526316,1011.0,190.0
5.3089005236,1014.0,191.0
5.3489583333,1027.0,192.0
5.3678756477,1036.0,193.0
5.3659793814,1041.0,194.0
5.3743589744,1048.0,195.0
5.3724489796,1053.0,196.0
5.3654822335,1057.0,197.0
5.3535353535,1060.0,198.0
5.3366834171,1062.0,199.0
5.32,1064.0,200.0
5.3532338308,1076.0,201.0
5.3910891089,1089.0,202.0
5.3891625616,1094.0,203.0
5.3970588235,1101.0,204.0
5.4097560976,1109.0,205.0
5.4029126214,1113.0,206.0
5.3913043478,1116.0,207.0
5.3701923077,1117.0,208.0
5.3492822967,1118.0,209.0
5.3285714286,1119.0,210.0
5.3317535545,1125.0,211.0
5.3726415094,1139.0,212.0
5.3708920188,1144.0,213.0
5.3691588785,1149.0,214.0
5.3860465116,1158.0,215.0
5.4027777778,1167.0,216.0
5.3917050691,1170.0,217.0
5.376146789,1172.0,218.0
5.3561643836,1173.0,219.0
5.3454545455,1176.0,220.0
5.334841629,1179.0,221.0
5.3648648649,1191.0,222.0
5.3856502242,1201.0,223.0
5.3973214286,1209.0,224.0
5.4133333333,1218.0,225.0
5.4115044248,1223.0,226.0
5.4008810573,1226.0,227.0
5.3859649123,1228.0,228.0
5.3755458515,1231.0,229.0
5.3608695652,1233.0,230.0
5.3593073593,1238.0,231.0
5.3879310345,1250.0,232.0
5.3819742489,1254.0,233.0
5.3717948718,1257.0,234.0
5.370212766,1262.0,235.0
5.3813559322,1270.0,236.0
5.3670886076,1272.0,237.0
5.3571428571,1275.0,238.0
5.3430962343,1277.0,239.0
5.3333333333,1280.0,240.0
5.3402489627,1287.0,241.0
5.367768595,1299.0,242.0
5.366255144,1304.0,243.0
5.3606557377,1308.0,244.0
5.3795918367,1318.0,245.0
5.3780487805,1323.0,246.0
5.3684210526,1326.0,247.0
5.3548387097,1328.0,248.0
5.3413654618,1330.0,249.0
5.324,1331.0,250.0
5.3306772908,1338.0,251.0
5.3650793651,1352.0,252.0
5.3754940711,1360.0,253.0
5.3779527559,1366.0,254.0
5.3843137255,1373.0,255.0
