"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
170.0,34.18,6.0294117647,10,0.39501176470594007
171.0,34.34,6.0175438596,8,0.3950292397661398
172.0,34.48,6.0232558140,7,0.3950465116279651
173.0,34.58,6.0578034682,5,0.3950635838150872
174.0,34.7,6.0919540230,6,0.3950804597701735
175.0,34.84,6.0685714286,7,0.3950971428572016
176.0,35,6.0511363636,8,0.3951136363636953
177.0,35.24,6.0225988701,12,0.39512994350288394
178.0,35.5,6.0056179775,13,0.3951460674157896
179.0,35.8,5.9832402235,15,0.39516201117324384
180.0,35.98,5.9833333333,9,0.39516111111117075
181.0,36.16,5.9889502762,9,0.39516022099453496
182.0,36.28,6.0054945055,6,0.3951758241758842
183.0,36.44,6.0163934426,8,0.39519125683066125
184.0,36.64,6.0380434783,10,0.3952065217391908
185.0,36.82,6.0486486486,9,0.3952216216216822
186.0,37.02,6.0591397849,10,0.3952365591398457
187.0,37.28,6.0588235294,13,0.3952513368984566
188.0,37.58,6.0425531915,15,0.39526595744686954
189.0,37.86,6.0264550265,14,0.3952804232804845
190.0,38.1,6.0315789474,12,0.39529473684216665
191.0,38.26,6.0366492147,8,0.3953089005236218
192.0,38.36,6.0625,5,0.39532291666672836
193.0,38.42,6.0880829016,3,0.3953367875648287
194.0,38.52,6.1134020619,5,0.39535051546397953
195.0,38.64,6.1076923077,6,0.39536410256416477
196.0,38.76,6.0918367347,6,0.3953775510204705
197.0,38.94,6.0812182741,9,0.39539086294422493
198.0,39.16,6.0707070707,11,0.39540404040410304
199.0,39.42,6.0653266332,13,0.3954170854271985
200.0,39.66,6.06,12,0.39543000000006295
201.0,39.86,6.0447761194,10,0.39544278606971484
202.0,40.06,6.0396039604,10,0.3954554455446177
203.0,40.3,6.0492610837,12,0.3954679802956299
204.0,40.5,6.0588235294,10,0.39548039215692626
205.0,40.72,6.0439024390,11,0.39549268292689294
206.0,40.92,6.0339805825,10,0.39550485436899585
207.0,41.18,6.0289855072,13,0.39551690821262436
208.0,41.48,6.0336538462,15,0.3955288461539083
209.0,41.84,6.0287081340,18,0.39554066985651953
210.0,42.02,6.0238095238,9,0.39555238095243916
211.0,42.22,6.0142180095,10,0.3955639810427103
212.0,42.38,6.0141509434,8,0.39557547169816754
213.0,42.56,6.0563380282,9,0.39558685446014635
214.0,42.76,6.0887850467,10,0.395598130841172
215.0,43,6.0790697674,12,0.3956093023256301
216.0,43.24,6.0601851852,12,0.3956203703704172
217.0,43.54,6.0460829493,15,0.3956313364055749
218.0,43.84,6.0275229358,15,0.3956422018349055
219.0,44.16,6.0091324201,16,0.395652968036571
220.0,44.3,6,7,0.3956636363636759
221.0,44.42,6,6,0.3956742081448341
222.0,44.6,6.0135135135,9,0.3956846846847207
223.0,44.86,6.0313901345,13,0.39569506726460824
224.0,45.08,6.0625,11,0.3957053571428897
225.0,45.32,6.0577777778,12,0.39571555555558635
226.0,45.56,6.0530973451,12,0.39572566371684326
227.0,45.8,6.0440528634,12,0.3957356828194107
228.0,46.16,6.0307017544,18,0.3957456140351135
229.0,46.52,6.0087336245,18,0.39575545851530797
230.0,46.74,5.9956521739,11,0.3957652173913268
231.0,46.86,5.9826839827,6,0.39577489177491265
232.0,46.96,5.9956896552,5,0.3957844827586399
233.0,47.08,6.0343347639,6,0.39579399141632665
234.0,47.22,6.0769230769,7,0.39580341880343484
235.0,47.42,6.0638297872,10,0.3958127659574613
236.0,47.66,6.0466101695,12,0.395822033898318
237.0,47.92,6.0337552743,13,0.3958312236287034
238.0,48.2,6.0336134454,14,0.3958403361344636
239.0,48.54,6.0251046025,17,0.39584937238494555
240.0,48.72,6.025,9,0.3958458333333401
241.0,48.9,6.0248962656,9,0.39584232365145755
