"sumCar","amount","tick"
5.0,5.0,1.0
3.0,6.0,2.0
2.3333333333,7.0,3.0
3.5,14.0,4.0
4.2,21.0,5.0
3.6666666667,22.0,6.0
3.5714285714,25.0,7.0
3.5,28.0,8.0
3.4444444444,31.0,9.0
3.4,34.0,10.0
3.4545454546,38.0,11.0
4.25,51.0,12.0
4.3846153846,57.0,13.0
4.1428571429,58.0,14.0
4.2,63.0,15.0
4.1875,67.0,16.0
4.0,68.0,17.0
3.8333333333,69.0,18.0
3.6842105263,70.0,19.0
3.75,75.0,20.0
4.0952380952,86.0,21.0
4.4090909091,97.0,22.0
4.4347826087,102.0,23.0
4.4166666667,106.0,24.0
4.48,112.0,25.0
4.3076923077,112.0,26.0
4.1851851852,113.0,27.0
4.0714285714,114.0,28.0
4.0344827586,117.0,29.0
4.0,120.0,30.0
