"sumCar","amount","tick"
4.0,4.0,1.0
4.0,8.0,2.0
3.3333333333,10.0,3.0
2.75,11.0,4.0
3.2,16.0,5.0
3.5,21.0,6.0
3.7142857143,26.0,7.0
3.875,31.0,8.0
4.0,36.0,9.0
3.8,38.0,10.0
3.6363636364,40.0,11.0
4.3333333333,52.0,12.0
5.3076923077,69.0,13.0
5.7857142857,81.0,14.0
5.5333333333,83.0,15.0
5.375,86.0,16.0
5.3529411765,91.0,17.0
5.3333333333,96.0,18.0
5.2631578947,100.0,19.0
5.05,101.0,20.0
4.8571428571,102.0,21.0
4.9090909091,108.0,22.0
5.1304347826,118.0,23.0
5.4166666667,130.0,24.0
5.36,134.0,25.0
5.3461538462,139.0,26.0
5.3333333333,144.0,27.0
5.3214285714,149.0,28.0
5.4482758621,158.0,29.0
5.5666666667,167.0,30.0
5.6451612903,175.0,31.0
5.65625,181.0,32.0
5.7878787879,191.0,33.0
6.0,204.0,34.0
6.0,210.0,35.0
5.9722222222,215.0,36.0
5.9189189189,219.0,37.0
5.8947368421,224.0,38.0
5.8461538462,228.0,39.0
5.825,233.0,40.0
5.7804878049,237.0,41.0
5.7619047619,242.0,42.0
5.8837209302,253.0,43.0
5.9772727273,263.0,44.0
5.8888888889,265.0,45.0
5.8043478261,267.0,46.0
5.7446808511,270.0,47.0
5.7708333333,277.0,48.0
5.7959183673,284.0,49.0
5.78,289.0,50.0
5.7450980392,293.0,51.0
5.8461538462,304.0,52.0
6.0,318.0,53.0
6.1481481481,332.0,54.0
6.0909090909,335.0,55.0
6.0178571429,337.0,56.0
5.9473684211,339.0,57.0
5.8965517241,342.0,58.0
5.8474576271,345.0,59.0
5.8166666667,349.0,60.0
5.7704918033,352.0,61.0
5.8064516129,360.0,62.0
5.9047619048,372.0,63.0
5.984375,383.0,64.0
5.9230769231,385.0,65.0
5.8787878788,388.0,66.0
5.9104477612,396.0,67.0
5.9558823529,405.0,68.0
5.9710144928,412.0,69.0
5.9571428571,417.0,70.0
5.9154929577,420.0,71.0
5.9166666667,426.0,72.0
6.0136986301,439.0,73.0
6.1081081081,452.0,74.0
6.0266666667,452.0,75.0
5.9605263158,453.0,76.0
5.9350649351,457.0,77.0
5.9230769231,462.0,78.0
5.8987341772,466.0,79.0
5.9,472.0,80.0
5.8765432099,476.0,81.0
5.8902439024,483.0,82.0
5.9638554217,495.0,83.0
6.0357142857,507.0,84.0
6.0,510.0,85.0
5.976744186,514.0,86.0
5.9655172414,519.0,87.0
5.9659090909,525.0,88.0
5.9438202247,529.0,89.0
5.9222222222,533.0,90.0
5.9010989011,537.0,91.0
5.9673913043,549.0,92.0
6.0215053763,560.0,93.0
6.1063829787,574.0,94.0
6.0736842105,577.0,95.0
6.0520833333,581.0,96.0
6.0309278351,585.0,97.0
6.0204081633,590.0,98.0
5.9898989899,593.0,99.0
5.99,599.0,100.0
5.9900990099,605.0,101.0
6.0098039216,613.0,102.0
6.0388349515,622.0,103.0
6.0769230769,632.0,104.0
6.0476190476,635.0,105.0
6.0188679245,638.0,106.0
5.9813084112,640.0,107.0
5.962962963,644.0,108.0
5.9449541284,648.0,109.0
5.9272727273,652.0,110.0
5.9099099099,656.0,111.0
5.9196428571,663.0,112.0
6.0088495575,679.0,113.0
6.1052631579,696.0,114.0
6.0869565217,700.0,115.0
6.0344827586,700.0,116.0
6.0085470085,703.0,117.0
6.0,708.0,118.0
5.9831932773,712.0,119.0
5.9583333333,715.0,120.0
5.9173553719,716.0,121.0
5.9262295082,723.0,122.0
6.0,738.0,123.0
6.0725806452,753.0,124.0
6.056,757.0,125.0
6.0158730159,758.0,126.0
6.0078740157,763.0,127.0
6.0078125,769.0,128.0
6.0,774.0,129.0
5.9923076923,779.0,130.0
5.9847328244,784.0,131.0
6.0378787879,797.0,132.0
6.0902255639,810.0,133.0
6.1417910448,823.0,134.0
6.1111111111,825.0,135.0
6.0808823529,827.0,136.0
6.0583941606,830.0,137.0
6.0362318841,833.0,138.0
6.0071942446,835.0,139.0
5.9928571429,839.0,140.0
5.9716312057,842.0,141.0
5.9718309859,848.0,142.0
6.020979021,861.0,143.0
6.0625,873.0,144.0
6.0413793103,876.0,145.0
6.0205479452,879.0,146.0
6.0068027211,883.0,147.0
6.0067567568,889.0,148.0
6.0067114094,895.0,149.0
5.9866666667,898.0,150.0
5.9801324503,903.0,151.0
5.9934210526,911.0,152.0
6.0522875817,926.0,153.0
6.1168831169,942.0,154.0
6.0967741935,945.0,155.0
6.0705128205,947.0,156.0
6.0445859873,949.0,157.0
6.0253164557,952.0,158.0
6.0062893082,955.0,159.0
6.0,960.0,160.0
5.9875776398,964.0,161.0
6.0,972.0,162.0
6.036809816,984.0,163.0
6.0853658537,998.0,164.0
6.0666666667,1001.0,165.0
6.0542168675,1005.0,166.0
6.0359281437,1008.0,167.0
6.0238095238,1012.0,168.0
6.0059171598,1015.0,169.0
6.0117647059,1022.0,170.0
6.0116959064,1028.0,171.0
6.0465116279,1040.0,172.0
6.0924855491,1054.0,173.0
6.1379310345,1068.0,174.0
6.1085714286,1069.0,175.0
6.0738636364,1069.0,176.0
6.0508474576,1071.0,177.0
6.0337078652,1074.0,178.0
6.0111731844,1076.0,179.0
5.9944444444,1079.0,180.0
5.9834254144,1083.0,181.0
6.0164835165,1095.0,182.0
6.0710382514,1111.0,183.0
6.1141304348,1125.0,184.0
6.0918918919,1127.0,185.0
6.0752688172,1130.0,186.0
6.0748663102,1136.0,187.0
6.0744680851,1142.0,188.0
6.0582010582,1145.0,189.0
6.0473684211,1149.0,190.0
6.0314136126,1152.0,191.0
6.0260416667,1157.0,192.0
6.0569948187,1169.0,193.0
6.087628866,1181.0,194.0
6.0666666667,1183.0,195.0
6.0459183673,1185.0,196.0
6.0253807107,1187.0,197.0
6.0252525253,1193.0,198.0
6.0251256281,1199.0,199.0
6.03,1206.0,200.0
6.0248756219,1211.0,201.0
6.0396039604,1220.0,202.0
6.0738916256,1233.0,203.0
6.1029411765,1245.0,204.0
6.0829268293,1247.0,205.0
6.0582524272,1248.0,206.0
6.0579710145,1254.0,207.0
6.0528846154,1259.0,208.0
6.038277512,1262.0,209.0
6.0238095238,1265.0,210.0
6.0047393365,1267.0,211.0
6.0141509434,1275.0,212.0
6.0516431925,1289.0,213.0
6.0934579439,1304.0,214.0
6.0790697674,1307.0,215.0
6.0601851852,1309.0,216.0
6.0460829493,1312.0,217.0
6.0412844037,1317.0,218.0
6.0456621005,1324.0,219.0
6.0454545455,1330.0,220.0
6.036199095,1334.0,221.0
6.045045045,1342.0,222.0
6.0762331839,1355.0,223.0
6.1160714286,1370.0,224.0
6.1066666667,1374.0,225.0
6.0884955752,1376.0,226.0
6.0748898678,1379.0,227.0
6.0701754386,1384.0,228.0
6.056768559,1387.0,229.0
6.052173913,1392.0,230.0
6.0432900433,1396.0,231.0
6.0474137931,1403.0,232.0
6.0729613734,1415.0,233.0
6.0982905983,1427.0,234.0
6.0808510638,1429.0,235.0
6.0593220339,1430.0,236.0
6.0421940928,1432.0,237.0
6.0420168067,1438.0,238.0
6.0418410042,1444.0,239.0
6.0291666667,1447.0,240.0
6.020746888,1451.0,241.0
6.0289256198,1459.0,242.0
6.0452674897,1469.0,243.0
6.0655737705,1480.0,244.0
6.0653061224,1486.0,245.0
6.0650406504,1492.0,246.0
6.0607287449,1497.0,247.0
6.064516129,1504.0,248.0
6.0602409639,1509.0,249.0
6.048,1512.0,250.0
6.03187251,1514.0,251.0
6.0476190476,1524.0,252.0
6.0790513834,1538.0,253.0
6.1141732283,1553.0,254.0
6.0980392157,1555.0,255.0
6.08203125,1557.0,256.0
6.0622568093,1558.0,257.0
6.0581395349,1563.0,258.0
6.0579150579,1569.0,259.0
6.0615384615,1576.0,260.0
6.0574712644,1581.0,261.0
6.0648854962,1589.0,262.0
6.0798479087,1599.0,263.0
6.1022727273,1611.0,264.0
6.0981132075,1616.0,265.0
6.0902255639,1620.0,266.0
6.0861423221,1625.0,267.0
6.0858208955,1631.0,268.0
6.0855018587,1637.0,269.0
6.0814814815,1642.0,270.0
6.0701107011,1645.0,271.0
6.0698529412,1651.0,272.0
6.0989010989,1665.0,273.0
6.1277372263,1679.0,274.0
6.1054545455,1679.0,275.0
6.0869565217,1680.0,276.0
6.0685920578,1681.0,277.0
6.0575539568,1684.0,278.0
6.0465949821,1687.0,279.0
6.0392857143,1691.0,280.0
6.0284697509,1694.0,281.0
6.0425531915,1704.0,282.0
6.0777385159,1720.0,283.0
6.1126760563,1736.0,284.0
6.098245614,1738.0,285.0
6.0804195804,1739.0,286.0
6.0662020906,1741.0,287.0
6.0625,1746.0,288.0
6.0588235294,1751.0,289.0
6.0586206897,1757.0,290.0
6.0549828179,1762.0,291.0
6.0753424658,1774.0,292.0
6.0921501706,1785.0,293.0
