"sumCar","amount","tick"
5.0,5.0,1.0
3.5,7.0,2.0
2.6666666667,8.0,3.0
3.25,13.0,4.0
3.6,18.0,5.0
3.5,21.0,6.0
3.5714285714,25.0,7.0
3.625,29.0,8.0
3.4444444444,31.0,9.0
3.3,33.0,10.0
3.8181818182,42.0,11.0
5.0,60.0,12.0
4.9230769231,64.0,13.0
4.7857142857,67.0,14.0
4.7333333333,71.0,15.0
4.8125,77.0,16.0
4.5882352941,78.0,17.0
4.3888888889,79.0,18.0
4.3157894737,82.0,19.0
4.5,90.0,20.0
4.6666666667,98.0,21.0
4.9090909091,108.0,22.0
4.9565217391,114.0,23.0
5.125,123.0,24.0
5.12,128.0,25.0
4.9615384615,129.0,26.0
4.8148148148,130.0,27.0
4.7142857143,132.0,28.0
4.5862068966,133.0,29.0
4.4666666667,134.0,30.0
4.5483870968,141.0,31.0
4.90625,157.0,32.0
5.0606060606,167.0,33.0
5.0,170.0,34.0
5.1428571429,180.0,35.0
5.1944444444,187.0,36.0
5.0540540541,187.0,37.0
5.0,190.0,38.0
4.9487179487,193.0,39.0
4.875,195.0,40.0
4.9512195122,203.0,41.0
5.1666666667,217.0,42.0
5.1627906977,222.0,43.0
5.1818181818,228.0,44.0
5.1777777778,233.0,45.0
5.1304347826,236.0,46.0
5.0425531915,237.0,47.0
4.9583333333,238.0,48.0
4.8571428571,238.0,49.0
4.78,239.0,50.0
4.7843137255,244.0,51.0
4.9615384615,258.0,52.0
5.0188679245,266.0,53.0
5.0,270.0,54.0
5.0363636364,277.0,55.0
5.1071428571,286.0,56.0
5.0350877193,287.0,57.0
4.9655172414,288.0,58.0
4.9491525424,292.0,59.0
4.9666666667,298.0,60.0
5.0327868852,307.0,61.0
5.1290322581,318.0,62.0
5.126984127,323.0,63.0
5.15625,330.0,64.0
5.1384615385,334.0,65.0
5.1060606061,337.0,66.0
5.0597014925,339.0,67.0
5.0,340.0,68.0
4.9420289855,341.0,69.0
4.8857142857,342.0,70.0
4.8873239437,347.0,71.0
5.0277777778,362.0,72.0
5.0821917808,371.0,73.0
5.0810810811,376.0,74.0
5.12,384.0,75.0
5.1315789474,390.0,76.0
5.0909090909,392.0,77.0
5.0641025641,395.0,78.0
5.0506329114,399.0,79.0
5.0375,403.0,80.0
5.037037037,408.0,81.0
5.1219512195,420.0,82.0
5.1927710843,431.0,83.0
5.2261904762,439.0,84.0
5.2117647059,443.0,85.0
5.1860465116,446.0,86.0
5.1609195402,449.0,87.0
5.125,451.0,88.0
5.0786516854,452.0,89.0
5.0333333333,453.0,90.0
5.0769230769,462.0,91.0
5.1847826087,477.0,92.0
5.1720430108,481.0,93.0
5.1595744681,485.0,94.0
5.1789473684,492.0,95.0
5.1979166667,499.0,96.0
5.175257732,502.0,97.0
5.1428571429,504.0,98.0
5.1111111111,506.0,99.0
5.09,509.0,100.0
5.0792079208,513.0,101.0
5.1470588235,525.0,102.0
5.1747572816,533.0,103.0
5.1923076923,540.0,104.0
5.1619047619,542.0,105.0
5.1509433962,546.0,106.0
5.1214953271,548.0,107.0
5.0925925926,550.0,108.0
5.0458715596,550.0,109.0
5.0090909091,551.0,110.0
5.0,555.0,111.0
5.0892857143,570.0,112.0
5.1327433628,580.0,113.0
5.1140350877,583.0,114.0
5.1565217391,593.0,115.0
5.1896551724,602.0,116.0
5.1538461538,603.0,117.0
5.1271186441,605.0,118.0
5.1092436975,608.0,119.0
5.1083333333,613.0,120.0
5.132231405,621.0,121.0
5.1803278689,632.0,122.0
5.1788617886,637.0,123.0
5.1935483871,644.0,124.0
5.176,647.0,125.0
5.1666666667,651.0,126.0
5.1496062992,654.0,127.0
5.1328125,657.0,128.0
5.0930232558,657.0,129.0
5.0615384615,658.0,130.0
5.0534351145,662.0,131.0
5.1287878788,677.0,132.0
5.1503759399,685.0,133.0
