"sumCar","amount","tick"
7.0,7.0,1.0
7.0,14.0,2.0
5.3333333333,16.0,3.0
4.5,18.0,4.0
3.8,19.0,5.0
3.3333333333,20.0,6.0
2.8571428571,20.0,7.0
3.0,24.0,8.0
3.1111111111,28.0,9.0
3.1,31.0,10.0
3.0909090909,34.0,11.0
3.6666666667,44.0,12.0
4.3846153846,57.0,13.0
4.9285714286,69.0,14.0
4.8666666667,73.0,15.0
4.8125,77.0,16.0
5.0,85.0,17.0
5.2777777778,95.0,18.0
5.4210526316,103.0,19.0
5.55,111.0,20.0
5.4285714286,114.0,21.0
5.4545454545,120.0,22.0
5.652173913,130.0,23.0
5.875,141.0,24.0
5.88,147.0,25.0
5.8461538462,152.0,26.0
5.7777777778,156.0,27.0
5.6428571429,158.0,28.0
5.5172413793,160.0,29.0
5.4,162.0,30.0
5.2903225806,164.0,31.0
5.4375,174.0,32.0
5.7575757576,190.0,33.0
6.0882352941,207.0,34.0
5.9714285714,209.0,35.0
5.8888888889,212.0,36.0
5.7837837838,214.0,37.0
5.8157894737,221.0,38.0
5.8461538462,228.0,39.0
5.725,229.0,40.0
5.6341463415,231.0,41.0
5.7380952381,241.0,42.0
5.976744186,257.0,43.0
6.2045454545,273.0,44.0
6.1111111111,275.0,45.0
6.0217391304,277.0,46.0
5.9361702128,279.0,47.0
5.8541666667,281.0,48.0
5.7551020408,282.0,49.0
5.68,284.0,50.0
5.5882352941,285.0,51.0
5.6346153846,293.0,52.0
5.8679245283,311.0,53.0
6.0925925926,329.0,54.0
5.9818181818,329.0,55.0
5.8928571429,330.0,56.0
5.8245614035,332.0,57.0
5.8620689655,340.0,58.0
5.8983050847,348.0,59.0
5.95,357.0,60.0
5.9508196721,363.0,61.0
5.9516129032,369.0,62.0
6.0476190476,381.0,63.0
6.140625,393.0,64.0
6.1076923077,397.0,65.0
6.0606060606,400.0,66.0
6.0298507463,404.0,67.0
5.9852941176,407.0,68.0
5.9275362319,409.0,69.0
5.9142857143,414.0,70.0
5.8732394366,417.0,71.0
5.9305555556,427.0,72.0
6.0273972603,440.0,73.0
6.1351351351,454.0,74.0
6.0933333333,457.0,75.0
6.0526315789,460.0,76.0
6.025974026,464.0,77.0
6.0512820513,472.0,78.0
6.0632911392,479.0,79.0
6.05,484.0,80.0
6.024691358,488.0,81.0
6.0609756098,497.0,82.0
