"tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1.0,14,2,14,0.28800000000000014
2.0,26,4,12,0.2959999999999996
3.0,42,7,16,0.3039999999999993
4.0,57,11,15,0.3099999999999992
5.0,77,13,20,0.31360000000000016
6.0,98,15,21,0.3160000000000009
7.0,120,18,22,0.31771428571428717
8.0,146,22,26,0.31900000000000184
9.0,171,26,25,0.32000000000000217
10.0,188,34,17,0.3243000000000025
11.0,204,41,16,0.3278181818181845
12.0,213,56,9,0.33300000000000296
13.0,222,68,9,0.3380000000000032
14.0,229,80,7,0.34228571428571763
15.0,236,86,7,0.3460000000000032
16.0,243,90,7,0.3492500000000016
17.0,248,96,5,0.35211764705882376
18.0,258,104,10,0.35466666666666563
19.0,268,111,10,0.3569473684210505
20.0,274,117,6,0.3589999999999969
21.0,280,122,6,0.3608571428571388
22.0,284,130,4,0.3625454545454497
23.0,288,137,4,0.36408695652173356
24.0,295,144,7,0.3654999999999937
25.0,302,147,7,0.3667999999999931
26.0,307,150,5,0.3679999999999925
27.0,314,153,7,0.36911111111110306
28.0,321,160,7,0.37014285714284867
29.0,334,169,13,0.37110344827585307
30.0,340,176,6,0.3719999999999905
31.0,345,183,5,0.37283870967740945
32.0,352,189,7,0.37362499999998966
33.0,361,199,9,0.37436363636362563
34.0,372,210,11,0.3750588235294007
35.0,382,215,10,0.3757142857142743
36.0,392,217,10,0.3763333333333216
37.0,402,220,10,0.37691891891890683
38.0,413,225,11,0.37747368421051397
39.0,424,231,11,0.37799999999998735
40.0,427,238,3,0.37842499999998713
41.0,430,245,3,0.3788292682926698
42.0,434,251,4,0.3792857142857009
43.0,440,261,6,0.37972093023254455
44.0,447,272,7,0.38013636363634984
45.0,455,277,8,0.3805333333333193
46.0,464,283,9,0.38091304347824667
47.0,475,290,11,0.38127659574466644
48.0,489,294,14,0.3816249999999854
49.0,503,295,14,0.3819591836734546
50.0,514,297,11,0.3822799999999851
51.0,524,299,10,0.3825882352941025
52.0,533,307,9,0.3828846153846001
53.0,545,319,12,0.3831698113207393
54.0,554,333,9,0.38344444444443004
55.0,565,337,11,0.38370909090907834
56.0,577,341,12,0.383964285714275
57.0,592,344,15,0.38421052631578045
58.0,608,349,16,0.38444827586206165
59.0,626,355,18,0.3846779661016892
60.0,637,363,11,0.38489999999999586
61.0,643,370,6,0.385114754098358
62.0,649,379,6,0.3853225806451601
63.0,656,387,7,0.38552380952380977
64.0,664,397,8,0.3857187500000016
65.0,672,401,8,0.3859076923076953
66.0,681,406,9,0.3860909090909133
67.0,692,411,11,0.3862686567164234
68.0,705,416,13,0.38644117647059495
69.0,720,419,15,0.3866086956521818
70.0,728,424,8,0.3867285714285805
71.0,736,429,8,0.38684507042254546
72.0,742,435,6,0.38700000000001133
73.0,750,443,8,0.3871506849315192
74.0,756,452,6,0.3872972972973107
75.0,765,459,9,0.3874400000000144
76.0,774,465,9,0.3875789473684364
77.0,787,470,13,0.38771428571430205
78.0,802,474,15,0.3878461538461711
79.0,816,479,14,0.3879746835443219
80.0,825,488,9,0.388100000000019
81.0,833,494,8,0.38822222222224206
82.0,839,500,6,0.38834146341465486
83.0,849,508,10,0.3884578313253227
84.0,860,517,11,0.3885714285714509
85.0,869,521,9,0.38868235294119957
86.0,879,525,10,0.38879069767444246
87.0,889,529,10,0.3888965517241625
88.0,899,534,10,0.3890000000000253
89.0,909,539,10,0.3891011235955316
90.0,917,544,8,0.3892000000000267
91.0,926,550,9,0.38929670329673066
92.0,936,559,10,0.38939130434785413
93.0,947,570,11,0.3894838709677706
94.0,959,581,12,0.3895744680851357
95.0,971,584,12,0.3896631578947668
96.0,983,588,12,0.3897500000000305
97.0,995,592,12,0.3898350515464229
98.0,1008,595,13,0.3899183673469705
99.0,1024,597,16,0.39000000000003227
100.0,1033,604,9,0.39005000000003287
101.0,1040,612,7,0.39009900990102353
102.0,1048,623,8,0.39017647058826926
103.0,1057,635,9,0.39025242718450054
104.0,1065,645,8,0.3903269230769581
105.0,1074,649,9,0.3904000000000355
106.0,1082,651,8,0.39047169811324356
107.0,1090,655,8,0.3905420560748029
108.0,1100,661,10,0.3906111111111482
109.0,1110,667,10,0.3906788990826064
110.0,1119,671,9,0.39074545454549264
111.0,1126,674,7,0.3908108108108494
112.0,1134,680,8,0.39087500000003905
113.0,1142,692,8,0.39093805309738466
