"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-19,"true",-19,0,70,1713395136,10,20,20,1.0,1.0,1
3,-19,"true",-19,0,70,1713399854,10,20,20,1.0,1.0,3
5,-19,"true",-19,0,70,1713402323,10,20,20,1.0,1.0,5
7,-19,"true",-19,0,70,1713404542,10,20,20,1.0,1.0,7
9,-19,"true",-19,0,70,1713406761,10,20,20,1.0,1.0,9
11,-19,"true",-19,0,70,1713409464,10,20,20,1.0,1.0,11
13,-19,"true",-19,0,70,1713411839,10,20,20,1.0,1.0,13
15,-19,"true",-19,0,70,1713414182,10,20,20,1.0,1.0,15
17,-19,"true",-19,0,70,1713416417,10,20,20,1.0,1.0,17
19,-19,"true",-19,0,70,1713418823,10,20,20,1.0,1.0,19
21,-19,"true",-19,0,70,1713420901,10,20,20,1.0,1.0,21
23,-19,"true",-19,0,70,1713422995,10,20,20,1.0,1.0,23
25,-19,"true",-19,0,70,1713425089,10,20,20,1.0,1.0,25
27,-19,"true",-19,0,70,1713427151,10,20,20,1.0,1.0,27
29,-19,"true",-19,0,70,1713429729,10,20,20,1.0,1.0,29
31,-19,"true",-19,0,70,1713432057,10,20,20,1.0,1.0,31
33,-19,"true",-19,0,70,1713434495,10,20,20,1.0,1.0,33
35,-19,"true",-19,0,70,1713437057,10,20,20,1.0,1.0,35
37,-19,"true",-19,0,70,1713439638,10,20,20,1.0,1.0,37
39,-19,"true",-19,0,70,1713442076,10,20,20,1.0,1.0,39
2,-19,"true",-19,0,70,1713395261,10,20,20,1.0,1.0,2
4,-19,"true",-19,0,70,1713399995,10,20,20,1.0,1.0,4
6,-19,"true",-19,0,70,1713402479,10,20,20,1.0,1.0,6
8,-19,"true",-19,0,70,1713404745,10,20,20,1.0,1.0,8
10,-19,"true",-19,0,70,1713407042,10,20,20,1.0,1.0,10
12,-19,"true",-19,0,70,1713409761,10,20,20,1.0,1.0,12
14,-19,"true",-19,0,70,1713412151,10,20,20,1.0,1.0,14
16,-19,"true",-19,0,70,1713414464,10,20,20,1.0,1.0,16
18,-19,"true",-19,0,70,1713416823,10,20,20,1.0,1.0,18
20,-19,"true",-19,0,70,1713419151,10,20,20,1.0,1.0,20
22,-19,"true",-19,0,70,1713421276,10,20,20,1.0,1.0,22
24,-19,"true",-19,0,70,1713423417,10,20,20,1.0,1.0,24
26,-19,"true",-19,0,70,1713425542,10,20,20,1.0,1.0,26
28,-19,"true",-19,0,70,1713427667,10,20,20,1.0,1.0,28
30,-19,"true",-19,0,70,1713430339,10,20,20,1.0,1.0,30
32,-19,"true",-19,0,70,1713432823,10,20,20,1.0,1.0,32
34,-19,"true",-19,0,70,1713435245,10,20,20,1.0,1.0,34
36,-19,"true",-19,0,70,1713437667,10,20,20,1.0,1.0,36
38,-19,"true",-19,0,70,1713440216,10,20,20,1.0,1.0,38
40,-19,"true",-19,0,70,1713442748,10,20,20,1.0,1.0,40
