"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,9070,2005,9070,0.34551319518898216
3,400.0,8703,2020,8703,0.36312019228562714
5,400.0,7786,1985,7786,0.37201613173979736
7,400.0,7742,2006,7742,0.3657842540738306
9,400.0,7842,2050,7842,0.36133877853783114
11,400.0,8321,2033,8321,0.36400296564932383
13,400.0,8863,2006,8863,0.3533993077387235
15,400.0,8919,1984,8919,0.3651773588566908
17,400.0,8439,2065,8439,0.35704909824633174
19,400.0,8310,2083,8310,0.35621592609690766
21,400.0,8941,2014,8941,0.36381366690141814
23,400.0,9413,1997,9413,0.34607355872568274
25,400.0,9988,1951,9988,0.3584705168868282
27,400.0,9802,1970,9802,0.36576918439034906
29,400.0,11396,1744,11396,0.34259635787909587
31,400.0,10670,1941,10670,0.35576792059519463
33,400.0,11041,1807,11041,0.35106062372986757
35,400.0,11904,1792,11904,0.36321419498909796
37,400.0,11076,1880,11076,0.3532418864678059
39,400.0,11721,1757,11721,0.36181360091029535
2,400.0,8644,2014,8644,0.3541774243041873
4,400.0,7920,1991,7920,0.37219666917648697
6,400.0,7755,2003,7755,0.3648417217891131
8,400.0,7691,2050,7691,0.3519877073301801
10,400.0,7250,2102,7250,0.3467281727740275
12,400.0,8517,2066,8517,0.349317947242409
14,400.0,7935,2078,7935,0.36259569509859596
16,400.0,9539,1953,9539,0.3619040517083236
18,400.0,9786,1941,9786,0.37374579463872526
20,400.0,9875,1922,9875,0.38034359969624454
22,400.0,9131,2059,9131,0.367755393425801
24,400.0,9681,1954,9681,0.35003882196705255
26,400.0,9946,1944,9946,0.3714446533463363
28,400.0,10685,1886,10685,0.34952061703348797
30,400.0,11061,1895,11061,0.3591406883935311
32,400.0,10932,1961,10932,0.3731800929268024
34,400.0,11303,1854,11303,0.3598929738460907
36,400.0,11544,1828,11544,0.35926407148582595
38,400.0,12661,1748,12661,0.3649873781294695
40,400.0,11782,1739,11782,0.36370792688695447
