"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-20,"true",-20,0,70,1709291274,10,20,20,1.0,1.0,2
3,-20,"true",-20,0,70,1709296692,10,20,20,1.0,1.0,4
5,-20,"true",-20,0,70,1709299208,10,20,20,1.0,1.0,6
7,-20,"true",-20,0,70,1709301692,10,20,20,1.0,1.0,8
9,-20,"true",-20,0,70,1709304067,10,20,20,1.0,1.0,10
11,-20,"true",-20,0,70,1709306989,10,20,20,1.0,1.0,12
13,-20,"true",-20,0,70,1709309286,10,20,20,1.0,1.0,14
15,-20,"true",-20,0,70,1709311567,10,20,20,1.0,1.0,16
17,-20,"true",-20,0,70,1709313817,10,20,20,1.0,1.0,18
19,-20,"true",-20,0,70,1709316458,10,20,20,1.0,1.0,20
21,-20,"true",-20,0,70,1709318989,10,20,20,1.0,1.0,22
23,-20,"true",-20,0,70,1709321395,10,20,20,1.0,1.0,24
25,-20,"true",-20,0,70,1709324036,10,20,20,1.0,1.0,26
27,-20,"true",-20,0,70,1709326302,10,20,20,1.0,1.0,28
29,-20,"true",-20,0,70,1709328989,10,20,20,1.0,1.0,30
31,-20,"true",-20,0,70,1709331515,10,20,20,1.0,1.0,32
33,-20,"true",-20,0,70,1709334276,10,20,20,1.0,1.0,34
35,-20,"true",-20,0,70,1709336572,10,20,20,1.0,1.0,36
37,-20,"true",-20,0,70,1709339260,10,20,20,1.0,1.0,38
39,-20,"true",-20,0,70,1709341432,10,20,20,1.0,1.0,40
2,-20,"true",-20,0,70,1709291556,10,20,20,1.0,1.0,3
4,-20,"true",-20,0,70,1709296973,10,20,20,1.0,1.0,5
6,-20,"true",-20,0,70,1709299364,10,20,20,1.0,1.0,7
8,-20,"true",-20,0,70,1709301723,10,20,20,1.0,1.0,9
10,-20,"true",-20,0,70,1709304052,10,20,20,1.0,1.0,11
12,-20,"true",-20,0,70,1709306802,10,20,20,1.0,1.0,13
14,-20,"true",-20,0,70,1709309067,10,20,20,1.0,1.0,15
16,-20,"true",-20,0,70,1709311302,10,20,20,1.0,1.0,17
18,-20,"true",-20,0,70,1709313474,10,20,20,1.0,1.0,19
20,-20,"true",-20,0,70,1709315786,10,20,20,1.0,1.0,21
22,-20,"true",-20,0,70,1709318208,10,20,20,1.0,1.0,23
24,-20,"true",-20,0,70,1709320739,10,20,20,1.0,1.0,25
26,-20,"true",-20,0,70,1709322973,10,20,20,1.0,1.0,27
28,-20,"true",-20,0,70,1709325458,10,20,20,1.0,1.0,29
30,-20,"true",-20,0,70,1709327723,10,20,20,1.0,1.0,31
32,-20,"true",-20,0,70,1709330313,10,20,20,1.0,1.0,33
34,-20,"true",-20,0,70,1709332992,10,20,20,1.0,1.0,35
36,-20,"true",-20,0,70,1709335276,10,20,20,1.0,1.0,37
38,-20,"true",-20,0,70,1709337760,10,20,20,1.0,1.0,39
