"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-19,"true",-19,1,70,1762043464,10,20,20,1.0,1.0,10
3,-19,"true",-19,3,70,1762048493,10,20,20,1.0,1.0,10
5,-19,"true",-19,5,70,1762051352,10,20,20,1.0,1.0,10
7,-19,"true",-19,7,70,1762053926,10,20,20,1.0,1.0,10
9,-19,"true",-19,9,70,1762056192,10,20,20,1.0,1.0,10
11,-19,"true",-19,11,70,1762058833,10,20,20,1.0,1.0,10
13,-19,"true",-19,13,70,1762061399,10,20,20,1.0,1.0,10
15,-19,"true",-19,15,70,1762063520,10,20,20,1.0,1.0,10
17,-19,"true",-19,17,70,1762066068,10,20,20,1.0,1.0,10
19,-19,"true",-19,19,70,1762068661,10,20,20,1.0,1.0,10
21,-19,"true",-19,21,70,1762070950,10,20,20,1.0,1.0,10
23,-19,"true",-19,23,70,1762073301,10,20,20,1.0,1.0,10
25,-19,"true",-19,25,70,1762075800,10,20,20,1.0,1.0,10
27,-19,"true",-19,27,70,1762078322,10,20,20,1.0,1.0,10
29,-19,"true",-19,29,70,1762080870,10,20,20,1.0,1.0,10
31,-19,"true",-19,31,70,1762083186,10,20,20,1.0,1.0,10
33,-19,"true",-19,33,70,1762085540,10,20,20,1.0,1.0,10
35,-19,"true",-19,35,70,1762087872,10,20,20,1.0,1.0,10
37,-19,"true",-19,37,70,1762090183,10,20,20,1.0,1.0,10
39,-19,"true",-19,39,70,1762092739,10,20,20,1.0,1.0,10
41,-19,"true",-19,41,70,1762094871,10,20,20,1.0,1.0,10
43,-19,"true",-19,43,70,1762097425,10,20,20,1.0,1.0,10
45,-19,"true",-19,45,70,1762099611,10,20,20,1.0,1.0,10
47,-19,"true",-19,47,70,1762102128,10,20,20,1.0,1.0,10
49,-19,"true",-19,49,70,1762104668,10,20,20,1.0,1.0,10
2,-19,"true",-19,2,70,1762043508,10,20,20,1.0,1.0,10
4,-19,"true",-19,4,70,1762048484,10,20,20,1.0,1.0,10
6,-19,"true",-19,6,70,1762051330,10,20,20,1.0,1.0,10
8,-19,"true",-19,8,70,1762054109,10,20,20,1.0,1.0,10
10,-19,"true",-19,10,70,1762056306,10,20,20,1.0,1.0,10
12,-19,"true",-19,12,70,1762059105,10,20,20,1.0,1.0,10
14,-19,"true",-19,14,70,1762061640,10,20,20,1.0,1.0,10
16,-19,"true",-19,16,70,1762063796,10,20,20,1.0,1.0,10
18,-19,"true",-19,18,70,1762066303,10,20,20,1.0,1.0,10
20,-19,"true",-19,20,70,1762068867,10,20,20,1.0,1.0,10
22,-19,"true",-19,22,70,1762071246,10,20,20,1.0,1.0,10
24,-19,"true",-19,24,70,1762073596,10,20,20,1.0,1.0,10
26,-19,"true",-19,26,70,1762076004,10,20,20,1.0,1.0,10
28,-19,"true",-19,28,70,1762078513,10,20,20,1.0,1.0,10
30,-19,"true",-19,30,70,1762081032,10,20,20,1.0,1.0,10
32,-19,"true",-19,32,70,1762083349,10,20,20,1.0,1.0,10
34,-19,"true",-19,34,70,1762085742,10,20,20,1.0,1.0,10
36,-19,"true",-19,36,70,1762088153,10,20,20,1.0,1.0,10
38,-19,"true",-19,38,70,1762090444,10,20,20,1.0,1.0,10
40,-19,"true",-19,40,70,1762092988,10,20,20,1.0,1.0,10
42,-19,"true",-19,42,70,1762095214,10,20,20,1.0,1.0,10
44,-19,"true",-19,44,70,1762097676,10,20,20,1.0,1.0,10
46,-19,"true",-19,46,70,1762099949,10,20,20,1.0,1.0,10
48,-19,"true",-19,48,70,1762102360,10,20,20,1.0,1.0,10
50,-19,"true",-19,50,70,1762104899,10,20,20,1.0,1.0,10
