"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-20,"true",-20,0,70,1708652260,10,20,20,2.0,1.0,2
3,-20,"true",-20,0,70,1708657557,10,20,20,2.0,1.0,4
5,-20,"true",-20,0,70,1708660697,10,20,20,2.0,1.0,6
7,-20,"true",-20,0,70,1708663150,10,20,20,2.0,1.0,8
9,-20,"true",-20,0,70,1708665695,10,20,20,2.0,1.0,10
11,-20,"true",-20,0,70,1708668633,10,20,20,2.0,1.0,12
13,-20,"true",-20,0,70,1708671032,10,20,20,2.0,1.0,14
15,-20,"true",-20,0,70,1708673743,10,20,20,2.0,1.0,16
17,-20,"true",-20,0,70,1708676192,10,20,20,2.0,1.0,18
19,-20,"true",-20,0,70,1708678927,10,20,20,2.0,1.0,20
21,-20,"true",-20,0,70,1708681598,10,20,20,2.0,1.0,22
23,-20,"true",-20,0,70,1708684364,10,20,20,2.0,1.0,24
25,-20,"true",-20,0,70,1708686864,10,20,20,2.0,1.0,26
27,-20,"true",-20,0,70,1708689567,10,20,20,2.0,1.0,28
29,-20,"true",-20,0,70,1708692036,10,20,20,2.0,1.0,30
31,-20,"true",-20,0,70,1708694490,10,20,20,2.0,1.0,32
33,-20,"true",-20,0,70,1708697258,10,20,20,2.0,1.0,34
35,-20,"true",-20,0,70,1708699914,10,20,20,2.0,1.0,36
37,-20,"true",-20,0,70,1708702477,10,20,20,2.0,1.0,38
39,-20,"true",-20,0,70,1708704992,10,20,20,2.0,1.0,40
2,-20,"true",-20,0,70,1708652213,10,20,20,2.0,1.0,3
4,-20,"true",-20,0,70,1708657510,10,20,20,2.0,1.0,5
6,-20,"true",-20,0,70,1708660525,10,20,20,2.0,1.0,7
8,-20,"true",-20,0,70,1708662932,10,20,20,2.0,1.0,9
10,-20,"true",-20,0,70,1708665322,10,20,20,2.0,1.0,11
12,-20,"true",-20,0,70,1708668316,10,20,20,2.0,1.0,13
14,-20,"true",-20,0,70,1708670605,10,20,20,2.0,1.0,15
16,-20,"true",-20,0,70,1708673093,10,20,20,2.0,1.0,17
18,-20,"true",-20,0,70,1708675708,10,20,20,2.0,1.0,19
20,-20,"true",-20,0,70,1708678364,10,20,20,2.0,1.0,21
22,-20,"true",-20,0,70,1708680864,10,20,20,2.0,1.0,23
24,-20,"true",-20,0,70,1708683630,10,20,20,2.0,1.0,25
26,-20,"true",-20,0,70,1708686270,10,20,20,2.0,1.0,27
28,-20,"true",-20,0,70,1708688708,10,20,20,2.0,1.0,29
30,-20,"true",-20,0,70,1708691348,10,20,20,2.0,1.0,31
32,-20,"true",-20,0,70,1708693819,10,20,20,2.0,1.0,33
34,-20,"true",-20,0,70,1708696258,10,20,20,2.0,1.0,35
36,-20,"true",-20,0,70,1708698836,10,20,20,2.0,1.0,37
38,-20,"true",-20,0,70,1708701524,10,20,20,2.0,1.0,39
