"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-19,"true",-19,1,70,1760381351,10,20,20,1.0,1.0,10
3,-19,"true",-19,3,70,1760386400,10,20,20,1.0,1.0,10
5,-19,"true",-19,5,70,1760388801,10,20,20,1.0,1.0,10
7,-19,"true",-19,7,70,1760391002,10,20,20,1.0,1.0,10
9,-19,"true",-19,9,70,1760393191,10,20,20,1.0,1.0,10
11,-19,"true",-19,11,70,1760395966,10,20,20,1.0,1.0,10
13,-19,"true",-19,13,70,1760398380,10,20,20,1.0,1.0,10
15,-19,"true",-19,15,70,1760400917,10,20,20,1.0,1.0,10
17,-19,"true",-19,17,70,1760403129,10,20,20,1.0,1.0,10
19,-19,"true",-19,19,70,1760405339,10,20,20,1.0,1.0,10
21,-19,"true",-19,21,70,1760407822,10,20,20,1.0,1.0,10
23,-19,"true",-19,23,70,1760410380,10,20,20,1.0,1.0,10
25,-19,"true",-19,25,70,1760412499,10,20,20,1.0,1.0,10
27,-19,"true",-19,27,70,1760415077,10,20,20,1.0,1.0,10
29,-19,"true",-19,29,70,1760417677,10,20,20,1.0,1.0,10
31,-19,"true",-19,31,70,1760420154,10,20,20,1.0,1.0,10
33,-19,"true",-19,33,70,1760422337,10,20,20,1.0,1.0,10
35,-19,"true",-19,35,70,1760424486,10,20,20,1.0,1.0,10
37,-19,"true",-19,37,70,1760427111,10,20,20,1.0,1.0,10
39,-19,"true",-19,39,70,1760429666,10,20,20,1.0,1.0,10
41,-19,"true",-19,41,70,1760431886,10,20,20,1.0,1.0,10
43,-19,"true",-19,43,70,1760434110,10,20,20,1.0,1.0,10
45,-19,"true",-19,45,70,1760436690,10,20,20,1.0,1.0,10
47,-19,"true",-19,47,70,1760439336,10,20,20,1.0,1.0,10
49,-19,"true",-19,49,70,1760441460,10,20,20,1.0,1.0,10
2,-19,"true",-19,2,70,1760381585,10,20,20,1.0,1.0,10
4,-19,"true",-19,4,70,1760386716,10,20,20,1.0,1.0,10
6,-19,"true",-19,6,70,1760389113,10,20,20,1.0,1.0,10
8,-19,"true",-19,8,70,1760391545,10,20,20,1.0,1.0,10
10,-19,"true",-19,10,70,1760393824,10,20,20,1.0,1.0,10
12,-19,"true",-19,12,70,1760396536,10,20,20,1.0,1.0,10
14,-19,"true",-19,14,70,1760398984,10,20,20,1.0,1.0,10
16,-19,"true",-19,16,70,1760401491,10,20,20,1.0,1.0,10
18,-19,"true",-19,18,70,1760403637,10,20,20,1.0,1.0,10
20,-19,"true",-19,20,70,1760406097,10,20,20,1.0,1.0,10
22,-19,"true",-19,22,70,1760408486,10,20,20,1.0,1.0,10
24,-19,"true",-19,24,70,1760410942,10,20,20,1.0,1.0,10
26,-19,"true",-19,26,70,1760413385,10,20,20,1.0,1.0,10
28,-19,"true",-19,28,70,1760415807,10,20,20,1.0,1.0,10
30,-19,"true",-19,30,70,1760418410,10,20,20,1.0,1.0,10
32,-19,"true",-19,32,70,1760420956,10,20,20,1.0,1.0,10
34,-19,"true",-19,34,70,1760423124,10,20,20,1.0,1.0,10
36,-19,"true",-19,36,70,1760425374,10,20,20,1.0,1.0,10
38,-19,"true",-19,38,70,1760427822,10,20,20,1.0,1.0,10
40,-19,"true",-19,40,70,1760430370,10,20,20,1.0,1.0,10
42,-19,"true",-19,42,70,1760432579,10,20,20,1.0,1.0,10
44,-19,"true",-19,44,70,1760435051,10,20,20,1.0,1.0,10
46,-19,"true",-19,46,70,1760437463,10,20,20,1.0,1.0,10
48,-19,"true",-19,48,70,1760440047,10,20,20,1.0,1.0,10
50,-19,"true",-19,50,70,1760442328,10,20,20,1.0,1.0,10
