"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-20,"true",-20,0,70,1709670066,20,20,20,1.0,1.0,2
3,-20,"true",-20,0,70,1709675482,20,20,20,1.0,1.0,4
5,-20,"true",-20,0,70,1709678711,20,20,20,1.0,1.0,6
7,-20,"true",-20,0,70,1709681632,20,20,20,1.0,1.0,8
9,-20,"true",-20,0,70,1709684062,20,20,20,1.0,1.0,10
11,-20,"true",-20,0,70,1709686878,20,20,20,1.0,1.0,12
13,-20,"true",-20,0,70,1709689113,20,20,20,1.0,1.0,14
15,-20,"true",-20,0,70,1709691833,20,20,20,1.0,1.0,16
17,-20,"true",-20,0,70,1709694099,20,20,20,1.0,1.0,18
19,-20,"true",-20,0,70,1709696379,20,20,20,1.0,1.0,20
21,-20,"true",-20,0,70,1709699003,20,20,20,1.0,1.0,22
23,-20,"true",-20,0,70,1709701416,20,20,20,1.0,1.0,24
25,-20,"true",-20,0,70,1709703752,20,20,20,1.0,1.0,26
27,-20,"true",-20,0,70,1709706436,20,20,20,1.0,1.0,28
29,-20,"true",-20,0,70,1709708724,20,20,20,1.0,1.0,30
31,-20,"true",-20,0,70,1709711509,20,20,20,1.0,1.0,32
33,-20,"true",-20,0,70,1709713881,20,20,20,1.0,1.0,34
35,-20,"true",-20,0,70,1709716687,20,20,20,1.0,1.0,36
37,-20,"true",-20,0,70,1709719218,20,20,20,1.0,1.0,38
39,-20,"true",-20,0,70,1709721625,20,20,20,1.0,1.0,40
2,-20,"true",-20,0,70,1709670173,20,20,20,1.0,1.0,3
4,-20,"true",-20,0,70,1709675604,20,20,20,1.0,1.0,5
6,-20,"true",-20,0,70,1709678820,20,20,20,1.0,1.0,7
8,-20,"true",-20,0,70,1709681726,20,20,20,1.0,1.0,9
10,-20,"true",-20,0,70,1709684203,20,20,20,1.0,1.0,11
12,-20,"true",-20,0,70,1709686968,20,20,20,1.0,1.0,13
14,-20,"true",-20,0,70,1709689224,20,20,20,1.0,1.0,15
16,-20,"true",-20,0,70,1709691927,20,20,20,1.0,1.0,17
18,-20,"true",-20,0,70,1709694208,20,20,20,1.0,1.0,19
20,-20,"true",-20,0,70,1709696519,20,20,20,1.0,1.0,21
22,-20,"true",-20,0,70,1709699207,20,20,20,1.0,1.0,23
24,-20,"true",-20,0,70,1709701588,20,20,20,1.0,1.0,25
26,-20,"true",-20,0,70,1709703924,20,20,20,1.0,1.0,27
28,-20,"true",-20,0,70,1709706576,20,20,20,1.0,1.0,29
30,-20,"true",-20,0,70,1709708941,20,20,20,1.0,1.0,31
32,-20,"true",-20,0,70,1709711650,20,20,20,1.0,1.0,33
34,-20,"true",-20,0,70,1709714037,20,20,20,1.0,1.0,35
36,-20,"true",-20,0,70,1709716812,20,20,20,1.0,1.0,37
38,-20,"true",-20,0,70,1709719458,20,20,20,1.0,1.0,39
