"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,8692,3396,8692,0.3426032211482525
3,400.0,7874,3179,7874,0.3644137143301112
5,400.0,7291,3448,7291,0.3536089157871902
7,400.0,8014,3144,8014,0.36000757308224485
9,400.0,9307,3190,9307,0.3593653080553881
11,400.0,9395,3128,9395,0.3761333262388195
13,400.0,7526,2951,7526,0.361841708043058
15,400.0,10825,3008,10825,0.35830820866727403
17,400.0,10360,2954,10360,0.3610164112427405
19,400.0,11611,3570,11611,0.36980221777329486
21,400.0,8962,3097,8962,0.36506757125231837
23,400.0,10026,2848,10026,0.36133394925455964
25,400.0,10736,2971,10736,0.36093657859148726
27,400.0,12468,2853,12468,0.3651531167543892
29,400.0,13999,2659,13999,0.37558306779606004
31,400.0,11488,3191,11488,0.3566429104291435
33,400.0,14812,2921,14812,0.3605641446126891
35,400.0,11882,2686,11882,0.3737164514525128
37,400.0,12217,2809,12217,0.3606239224762789
39,400.0,11220,2772,11220,0.362836184992588
2,400.0,8354,3270,8354,0.3640536928285978
4,400.0,7276,3071,7276,0.3713126677503543
6,400.0,6559,3499,6559,0.35580334648436734
8,400.0,6755,3097,6755,0.3771230808810464
10,400.0,8082,3062,8082,0.35909236034644504
12,400.0,8015,3056,8015,0.36237222492455373
14,400.0,9970,3442,9970,0.3661649653145245
16,400.0,10282,2929,10282,0.36758197698901807
18,400.0,9317,3012,9317,0.36382749761641026
20,400.0,8623,2933,8623,0.36947658526604726
22,400.0,11623,3151,11623,0.35773922198425445
24,400.0,10564,3111,10564,0.37084582966725743
26,400.0,10214,2773,10214,0.3664825263619423
28,400.0,14666,3099,14666,0.3546996792839574
30,400.0,10745,3113,10745,0.37506681438216144
32,400.0,14811,2673,14811,0.36830689328296906
34,400.0,13985,2923,13985,0.3482516007740051
36,400.0,13207,2985,13207,0.37034560962101176
38,400.0,16127,2924,16127,0.34551551016074206
