"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-39,"true",-39,0,70,1715679736,20,40,40,1.0,1.0,1
3,-39,"true",-39,0,70,1715690267,20,40,40,1.0,1.0,3
5,-39,"true",-39,0,70,1715697939,20,40,40,1.0,1.0,5
7,-39,"true",-39,0,70,1715705517,20,40,40,1.0,1.0,7
9,-39,"true",-39,0,70,1715712908,20,40,40,1.0,1.0,9
11,-39,"true",-39,0,70,1715720267,20,40,40,1.0,1.0,11
13,-39,"true",-39,0,70,1715727520,20,40,40,1.0,1.0,13
15,-39,"true",-39,0,70,1715735020,20,40,40,1.0,1.0,15
17,-39,"true",-39,0,70,1715742239,20,40,40,1.0,1.0,17
19,-39,"true",-39,0,70,1715749520,20,40,40,1.0,1.0,19
21,-39,"true",-39,0,70,1715756823,20,40,40,1.0,1.0,21
23,-39,"true",-39,0,70,1715763974,20,40,40,1.0,1.0,23
25,-39,"true",-39,0,70,1715771068,20,40,40,1.0,1.0,25
27,-39,"true",-39,0,70,1715778318,20,40,40,1.0,1.0,27
29,-39,"true",-39,0,70,1715785585,20,40,40,1.0,1.0,29
31,-39,"true",-39,0,70,1715792663,20,40,40,1.0,1.0,31
33,-39,"true",-39,0,70,1715799929,20,40,40,1.0,1.0,33
35,-39,"true",-39,0,70,1715807210,20,40,40,1.0,1.0,35
37,-39,"true",-39,0,70,1715815648,20,40,40,1.0,1.0,37
39,-39,"true",-39,0,70,1715823023,20,40,40,1.0,1.0,39
2,-39,"true",-39,0,70,1715680002,20,40,40,1.0,1.0,2
4,-39,"true",-39,0,70,1715690439,20,40,40,1.0,1.0,4
6,-39,"true",-39,0,70,1715698096,20,40,40,1.0,1.0,6
8,-39,"true",-39,0,70,1715705627,20,40,40,1.0,1.0,8
10,-39,"true",-39,0,70,1715712892,20,40,40,1.0,1.0,10
12,-39,"true",-39,0,70,1715720096,20,40,40,1.0,1.0,12
14,-39,"true",-39,0,70,1715727223,20,40,40,1.0,1.0,14
16,-39,"true",-39,0,70,1715734551,20,40,40,1.0,1.0,16
18,-39,"true",-39,0,70,1715741676,20,40,40,1.0,1.0,18
20,-39,"true",-39,0,70,1715748880,20,40,40,1.0,1.0,20
22,-39,"true",-39,0,70,1715756162,20,40,40,1.0,1.0,22
24,-39,"true",-39,0,70,1715763271,20,40,40,1.0,1.0,24
26,-39,"true",-39,0,70,1715770302,20,40,40,1.0,1.0,26
28,-39,"true",-39,0,70,1715777411,20,40,40,1.0,1.0,28
30,-39,"true",-39,0,70,1715784710,20,40,40,1.0,1.0,30
32,-39,"true",-39,0,70,1715791835,20,40,40,1.0,1.0,32
34,-39,"true",-39,0,70,1715798992,20,40,40,1.0,1.0,34
36,-39,"true",-39,0,70,1715806210,20,40,40,1.0,1.0,36
38,-39,"true",-39,0,70,1715813617,20,40,40,1.0,1.0,38
40,-39,"true",-39,0,70,1715821788,20,40,40,1.0,1.0,40
