"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,9567,3448,9567,0.547818795381646
3,400.0,7066,3230,7066,0.5876129218100438
5,400.0,8187,3452,8187,0.6081203015643571
7,400.0,11687,3097,11687,0.5854982208417995
9,400.0,10112,3307,10112,0.596254120629813
2,400.0,9954,3362,9954,0.5392749346590467
4,400.0,9968,3383,9968,0.5729812829196453
6,400.0,9777,3394,9777,0.5993560496057783
8,400.0,9865,3173,9865,0.5924965559675225
