"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-19,"false",-19,1,70,1762483164,10,20,20,1.0,1.0,10
3,-19,"false",-19,3,70,1762487924,10,20,20,1.0,1.0,10
5,-19,"false",-19,5,70,1762490649,10,20,20,1.0,1.0,10
7,-19,"false",-19,7,70,1762493357,10,20,20,1.0,1.0,10
9,-19,"false",-19,9,70,1762495585,10,20,20,1.0,1.0,10
11,-19,"false",-19,11,70,1762498447,10,20,20,1.0,1.0,10
13,-19,"false",-19,13,70,1762501035,10,20,20,1.0,1.0,10
15,-19,"false",-19,15,70,1762503502,10,20,20,1.0,1.0,10
17,-19,"false",-19,17,70,1762505736,10,20,20,1.0,1.0,10
19,-19,"false",-19,19,70,1762507836,10,20,20,1.0,1.0,10
21,-19,"false",-19,21,70,1762510390,10,20,20,1.0,1.0,10
23,-19,"false",-19,23,70,1762512461,10,20,20,1.0,1.0,10
25,-19,"false",-19,25,70,1762514626,10,20,20,1.0,1.0,10
27,-19,"false",-19,27,70,1762517186,10,20,20,1.0,1.0,10
29,-19,"false",-19,29,70,1762519954,10,20,20,1.0,1.0,10
31,-19,"false",-19,31,70,1762522715,10,20,20,1.0,1.0,10
33,-19,"false",-19,33,70,1762525700,10,20,20,1.0,1.0,10
35,-19,"false",-19,35,70,1762529240,10,20,20,1.0,1.0,10
37,-19,"false",-19,37,70,1762532326,10,20,20,1.0,1.0,10
39,-19,"false",-19,39,70,1762535314,10,20,20,1.0,1.0,10
41,-19,"false",-19,41,70,1762538066,10,20,20,1.0,1.0,10
43,-19,"false",-19,43,70,1762541023,10,20,20,1.0,1.0,10
45,-19,"false",-19,45,70,1762543740,10,20,20,1.0,1.0,10
47,-19,"false",-19,47,70,1762546401,10,20,20,1.0,1.0,10
49,-19,"false",-19,49,70,1762549334,10,20,20,1.0,1.0,10
2,-19,"false",-19,2,70,1762483055,10,20,20,1.0,1.0,10
4,-19,"false",-19,4,70,1762487830,10,20,20,1.0,1.0,10
6,-19,"false",-19,6,70,1762490649,10,20,20,1.0,1.0,10
8,-19,"false",-19,8,70,1762493435,10,20,20,1.0,1.0,10
10,-19,"false",-19,10,70,1762495730,10,20,20,1.0,1.0,10
12,-19,"false",-19,12,70,1762498618,10,20,20,1.0,1.0,10
14,-19,"false",-19,14,70,1762501176,10,20,20,1.0,1.0,10
16,-19,"false",-19,16,70,1762503708,10,20,20,1.0,1.0,10
18,-19,"false",-19,18,70,1762505954,10,20,20,1.0,1.0,10
20,-19,"false",-19,20,70,1762508084,10,20,20,1.0,1.0,10
22,-19,"false",-19,22,70,1762510660,10,20,20,1.0,1.0,10
24,-19,"false",-19,24,70,1762512742,10,20,20,1.0,1.0,10
26,-19,"false",-19,26,70,1762515042,10,20,20,1.0,1.0,10
28,-19,"false",-19,28,70,1762517558,10,20,20,1.0,1.0,10
30,-19,"false",-19,30,70,1762520313,10,20,20,1.0,1.0,10
32,-19,"false",-19,32,70,1762523121,10,20,20,1.0,1.0,10
34,-19,"false",-19,34,70,1762526216,10,20,20,1.0,1.0,10
36,-19,"false",-19,36,70,1762529735,10,20,20,1.0,1.0,10
38,-19,"false",-19,38,70,1762532794,10,20,20,1.0,1.0,10
40,-19,"false",-19,40,70,1762535991,10,20,20,1.0,1.0,10
42,-19,"false",-19,42,70,1762538736,10,20,20,1.0,1.0,10
44,-19,"false",-19,44,70,1762541603,10,20,20,1.0,1.0,10
46,-19,"false",-19,46,70,1762544522,10,20,20,1.0,1.0,10
48,-19,"false",-19,48,70,1762547495,10,20,20,1.0,1.0,10
50,-19,"false",-19,50,70,1762550255,10,20,20,1.0,1.0,10
