"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,5084,1220,5084,0.3453529071951551
3,400.0,4549,1221,4549,0.3522774500671242
5,400.0,4834,1130,4834,0.3699727828901793
7,400.0,4395,1156,4395,0.35666782715118356
9,400.0,5027,1207,5027,0.3805250572477068
11,400.0,5484,1180,5484,0.36277717564148565
13,400.0,4546,1235,4546,0.351264027835003
15,400.0,6441,1162,6441,0.37024586556479333
17,400.0,5238,1208,5238,0.36717086980119346
19,400.0,5881,1181,5881,0.35893207655634196
21,400.0,6363,1244,6363,0.37535183623965296
23,400.0,5869,1191,5869,0.3619976798107049
25,400.0,6494,1130,6494,0.37460094776802827
27,400.0,6808,1134,6808,0.3775800392904452
29,400.0,6418,1159,6418,0.35616527670941184
31,400.0,5920,1191,5920,0.36188954337154117
33,400.0,6594,1172,6594,0.3525625691201006
35,400.0,6632,1144,6632,0.37024471025860733
37,400.0,6987,1139,6987,0.3727407608564411
39,400.0,7626,1114,7626,0.3665264627513077
2,400.0,5116,1236,5116,0.37382176731021277
4,400.0,4469,1156,4469,0.3605533763268696
6,400.0,5088,1128,5088,0.3578606520127505
8,400.0,5118,1168,5118,0.37714159036747047
10,400.0,4533,1224,4533,0.36096818907292827
12,400.0,4629,1240,4629,0.3688744707064969
14,400.0,4647,1214,4647,0.3599441267869302
16,400.0,5666,1161,5666,0.3755888172867043
18,400.0,5713,1172,5713,0.3675297906686153
20,400.0,5767,1160,5767,0.38448167049139736
22,400.0,6415,1187,6415,0.36952679042119
24,400.0,5869,1204,5869,0.37930679199312417
26,400.0,5569,1223,5569,0.3673205501218992
28,400.0,7158,1117,7158,0.3676958487645856
30,400.0,6535,1143,6535,0.3627713356614113
32,400.0,7527,1150,7527,0.3739733061593558
34,400.0,7129,1139,7129,0.36155291697702235
36,400.0,7122,1138,7122,0.365767496597554
38,400.0,7119,1145,7119,0.3621162417254278
40,400.0,6662,1110,6662,0.35429726565895336
