"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,9924,1936,9924,0.35477465163650257
3,400.0,7701,1998,7701,0.36047186839394274
5,400.0,8731,1873,8731,0.35853063714796946
7,400.0,9475,2008,9475,0.3577567882524537
9,400.0,8879,1994,8879,0.3800727172847837
11,400.0,9641,1821,9641,0.3823267545338188
13,400.0,9040,1901,9040,0.3513640809402402
15,400.0,9995,1964,9995,0.3693636583946645
17,400.0,12416,1734,12416,0.37009524480785644
19,400.0,11616,1826,11616,0.36126722250080534
21,400.0,12912,1817,12912,0.3674298819223685
23,400.0,11269,1793,11269,0.3560610222859042
25,400.0,13053,1704,13053,0.3710078870018146
27,400.0,14633,1840,14633,0.3605645569884883
29,400.0,11661,1569,11661,0.3663030746219946
31,400.0,12138,1818,12138,0.3547735622471997
33,400.0,18189,1417,18189,0.36955795729665886
35,400.0,13242,1680,13242,0.34854269707788316
37,400.0,11013,1854,11013,0.35378368740049854
39,400.0,14717,1614,14717,0.36353688704781234
2,400.0,10906,1938,10906,0.3474386631942221
4,400.0,9841,1772,9841,0.3652551967477692
6,400.0,9703,1922,9703,0.3672280169161303
8,400.0,10761,1811,10761,0.3584061795499708
10,400.0,13945,1727,13945,0.35306477105990053
12,400.0,12118,1902,12118,0.35444483480150146
14,400.0,13809,1854,13809,0.36899957732483746
16,400.0,12756,1662,12756,0.3669172206728586
18,400.0,11306,1827,11306,0.3535159287785313
20,400.0,13669,1910,13669,0.3644630692952446
22,400.0,15734,1768,15734,0.36551385207314574
24,400.0,12492,1940,12492,0.3632243673056364
26,400.0,13674,1984,13674,0.37292149014451675
28,400.0,9720,1905,9720,0.3657911440277738
30,400.0,13497,1560,13497,0.3641739450251418
32,400.0,15526,1544,15526,0.3475386279337108
34,400.0,14543,1641,14543,0.38361422570688386
36,400.0,11813,1992,11813,0.3447244129840817
38,400.0,13102,1669,13102,0.3606403679427292
