"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,6411,2237,6411,0.3971071428569389
3,400.0,5658,2235,5658,0.39706785714265325
5,400.0,5181,2341,5181,0.39768571428550986
7,400.0,5076,2307,5076,0.3978571428569383
9,400.0,5656,2250,5656,0.3974464285712243
11,400.0,5239,2309,5239,0.3973464285712245
13,400.0,5024,2359,5024,0.3976482142855099
15,400.0,5468,2225,5468,0.3975178571426529
17,400.0,5061,2308,5061,0.39715714285693887
19,400.0,5136,2289,5136,0.39766428571408124
21,400.0,5575,2215,5575,0.39753392857122427
23,400.0,5193,2335,5193,0.3974785714283672
25,400.0,5351,2236,5351,0.3972821428569388
27,400.0,5684,2262,5684,0.3974607142855101
29,400.0,5220,2227,5220,0.3971857142855103
31,400.0,5150,2313,5150,0.39783928571408117
33,400.0,5932,2303,5932,0.3976821428569385
35,400.0,5453,2273,5453,0.39784642857122404
37,400.0,5355,2224,5355,0.39721071428551025
39,400.0,5008,2261,5008,0.397132142856939
41,400.0,5229,2247,5229,0.398132142856938
43,400.0,5691,2230,5691,0.39678214285693936
45,400.0,4992,2206,4992,0.39765535714265277
47,400.0,5091,2340,5091,0.3972249999997959
49,400.0,5127,2283,5127,0.3974142857140815
2,400.0,6277,2212,6277,0.3977678571426527
4,400.0,5650,2213,5650,0.39774642857122416
6,400.0,5147,2283,5147,0.39737857142836724
8,400.0,5574,2257,5574,0.39714285714265324
10,400.0,5882,2173,5882,0.39719999999979605
12,400.0,4855,2300,4855,0.39777142857122405
14,400.0,5128,2249,5128,0.3979035714283669
16,400.0,5677,2203,5677,0.39761785714265285
18,400.0,5407,2314,5407,0.3975499999997957
20,400.0,5539,2198,5539,0.3969517857140819
22,400.0,5508,2250,5508,0.3977571428569383
24,400.0,5710,2245,5710,0.39744999999979586
26,400.0,5594,2189,5594,0.39767857142836704
28,400.0,4716,2382,4716,0.39806785714265236
30,400.0,5208,2332,5208,0.39724285714265306
32,400.0,4770,2311,4770,0.39793928571408105
34,400.0,6080,2203,6080,0.3975678571426528
36,400.0,5219,2230,5219,0.39759821428551007
38,400.0,5125,2304,5125,0.3976535714283671
40,400.0,5577,2308,5577,0.39604821428551135
42,400.0,5186,2311,5186,0.39725357142836737
44,400.0,5495,2382,5495,0.39762499999979556
46,400.0,5371,2337,5371,0.39792499999979536
48,400.0,6805,2142,6805,0.39720178571408166
50,400.0,5484,2274,5484,0.3976928571426527
