"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,9214,3415,9214,0.5616752020769885
3,400.0,8087,3473,8087,0.5819231524957078
5,400.0,9578,3154,9578,0.5910994065427887
7,400.0,10662,3270,10662,0.5647131077913301
9,400.0,10029,3352,10029,0.6365044708384999
11,400.0,11539,3011,11539,0.5904579678816455
13,400.0,9410,3069,9410,0.6057760931631284
15,400.0,10435,3170,10435,0.5931187445760837
17,400.0,11474,2930,11474,0.6105581693880792
19,400.0,13856,3058,13856,0.6088560086669667
21,400.0,13928,2905,13928,0.6216096364190535
23,400.0,14563,3064,14563,0.5896701012980193
25,400.0,13250,2548,13250,0.5811925540758031
27,400.0,11173,2928,11173,0.6304231780349676
29,400.0,14952,2606,14952,0.6090140416989369
31,400.0,13726,2652,13726,0.6282528557505991
33,400.0,15686,2671,15686,0.5802852990236134
35,400.0,14456,2560,14456,0.5932800273269947
37,400.0,14547,2602,14547,0.5773057361458029
39,400.0,16620,2555,16620,0.5962259777874819
2,400.0,8737,3463,8737,0.5740174649732985
4,400.0,7090,3600,7090,0.591612780400951
6,400.0,10255,3109,10255,0.5742959521926407
8,400.0,8963,3295,8963,0.602218972718077
10,400.0,11352,3163,11352,0.5717483313299183
12,400.0,13795,3077,13795,0.576595299691494
14,400.0,11309,2685,11309,0.6166352101697453
16,400.0,9458,3209,9458,0.6302280263687883
18,400.0,13159,3133,13159,0.6010271739752165
20,400.0,10055,3030,10055,0.6318983233193202
22,400.0,16018,2691,16018,0.5907620033925133
24,400.0,14607,3046,14607,0.6059799818832959
26,400.0,13000,2763,13000,0.613594203869147
28,400.0,16401,2661,16401,0.5775195911103593
30,400.0,17710,2777,17710,0.5539369544304376
32,400.0,13849,2654,13849,0.6080423178880342
34,400.0,14708,2311,14708,0.6031576639323363
36,400.0,13981,2529,13981,0.5826369702432836
38,400.0,16620,2772,16620,0.5947571809057679
