"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,6331,2169,6331,0.39947142857122175
3,400.0,4828,2325,4828,0.3977660714283667
5,400.0,6001,2092,6001,0.39492142857122847
7,400.0,6527,2110,6527,0.3933214285712301
9,400.0,6455,2208,6455,0.39164285714266134
11,400.0,6808,2134,6808,0.38819285714266655
13,400.0,6374,2158,6374,0.3872553571426687
15,400.0,7231,2125,7231,0.38374464285696047
17,400.0,8153,1947,8153,0.38288214285696276
19,400.0,6723,2159,6723,0.3811999999998232
21,400.0,7289,2028,7289,0.37870178571411434
23,400.0,7916,1927,7916,0.3769607142855448
25,400.0,8396,1975,8396,0.3741071428569799
27,400.0,7381,1986,7381,0.3720946428569841
29,400.0,5872,2189,5872,0.3701660714284142
31,400.0,7452,2033,7452,0.3674285714284208
33,400.0,7684,1965,7684,0.3666464285712819
35,400.0,6359,2141,6359,0.3629589285712888
37,400.0,7732,2079,7732,0.361571428571293
39,400.0,7169,2043,7169,0.3602749999998682
41,400.0,6592,2148,6592,0.35811964285701814
43,400.0,6807,2086,6807,0.3559446428570224
45,400.0,7008,2062,7008,0.35337321428560126
47,400.0,7474,1999,7474,0.35206249999989075
49,400.0,6597,2135,6597,0.34993214285703794
2,400.0,4271,2356,4271,0.39938571428550756
4,400.0,6871,2130,6871,0.3968571428569401
6,400.0,6001,2092,6001,0.39492142857122847
8,400.0,6365,2085,6365,0.3917910714283758
10,400.0,7950,2002,7950,0.39057499999980666
12,400.0,7232,2047,7232,0.38826249999980955
14,400.0,7551,1954,7551,0.3847999999998158
16,400.0,7060,2115,7060,0.38426071428553127
18,400.0,8324,1984,8324,0.3805089285712524
20,400.0,6697,2090,6697,0.3802857142855391
22,400.0,8616,1890,8616,0.37824999999982845
24,400.0,6797,2036,6797,0.3757607142855481
26,400.0,7064,2020,7064,0.3733071428569804
28,400.0,7384,2106,7384,0.37069999999984343
30,400.0,6770,2203,6770,0.369778571428418
32,400.0,7756,1978,7756,0.36673749999985006
34,400.0,6974,2013,6974,0.36494464285699985
36,400.0,8308,1976,8308,0.36334642857128924
38,400.0,7437,2011,7437,0.3602714285712968
40,400.0,7215,2027,7215,0.3587571428570147
42,400.0,7555,2014,7555,0.35626071428559053
44,400.0,7283,2018,7283,0.3542482142855971
46,400.0,7559,2003,7559,0.3519249999998868
48,400.0,7262,2055,7262,0.34963214285703864
50,400.0,7025,2085,7025,0.34805178571418566
