"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,5830,2176,5830,0.3979232142855098
3,400.0,5436,2171,5436,0.39786071428550973
5,400.0,6527,2063,6527,0.39724642857122466
7,400.0,6417,2225,6417,0.3978642857140812
9,400.0,5630,2268,5630,0.39753928571408154
11,400.0,5692,2195,5692,0.3981892857140809
13,400.0,4697,2396,4697,0.3974910714283667
15,400.0,5299,2182,5299,0.39732499999979587
17,400.0,5543,2182,5543,0.39764285714265274
19,400.0,4960,2348,4960,0.39739999999979514
21,400.0,4925,2308,4925,0.39779464285693833
23,400.0,4594,2305,4594,0.39775892857122414
25,400.0,5758,2177,5758,0.3976464285712243
27,400.0,5268,2195,5268,0.3977982142855091
29,400.0,6404,2183,6404,0.3977249999997955
31,400.0,5461,2213,5461,0.3977892857140813
33,400.0,6350,2206,6350,0.3976999999997954
35,400.0,7453,2111,7453,0.3973464285712245
37,400.0,6442,2174,6442,0.3973928571426531
39,400.0,6579,2127,6579,0.3976642857140813
41,400.0,6331,2181,6331,0.39790357142836685
43,400.0,7888,2024,7888,0.39721785714265306
45,400.0,6175,2163,6175,0.3979607142855097
47,400.0,7308,2027,7308,0.3982464285712237
49,400.0,5537,2213,5537,0.3978642857140812
2,400.0,5904,2259,5904,0.3978642857140812
4,400.0,6019,2197,6019,0.39738928571408166
6,400.0,6355,2134,6355,0.39761785714265285
8,400.0,5831,2194,5831,0.3973571428569388
10,400.0,6126,2167,6126,0.39778214285693825
12,400.0,6237,2151,6237,0.3978857142855096
14,400.0,4458,2397,4458,0.3960499999997971
16,400.0,5192,2247,5192,0.39810357142836633
18,400.0,5366,2224,5366,0.39721785714265323
20,400.0,5879,2180,5879,0.3977249999997956
22,400.0,5608,2237,5608,0.39766249999979564
24,400.0,5346,2227,5346,0.39687857142836785
26,400.0,6430,2110,6430,0.39738035714265296
28,400.0,6530,2161,6530,0.39746071428551016
30,400.0,5574,2231,5574,0.3977535714283669
32,400.0,5387,2255,5387,0.3977910714283665
34,400.0,4836,2278,4836,0.3973124999997959
36,400.0,6373,2077,6373,0.39817499999979517
38,400.0,7217,2066,7217,0.3973803571426527
40,400.0,5731,2119,5731,0.3979749999997952
42,400.0,5111,2292,5111,0.3980464285712239
44,400.0,4831,2238,4831,0.3973803571426526
46,400.0,6130,2181,6130,0.3973821428569388
48,400.0,6425,2173,6425,0.39823214285693803
50,400.0,5933,2116,5933,0.39768749999979575
