"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,6449,2121,6449,0.399028571428365
3,400.0,6481,2149,6481,0.39804821428550946
5,400.0,5841,2242,5841,0.39441607142837154
7,400.0,6211,2233,6211,0.3931892857140879
9,400.0,7155,2074,7155,0.39189642857123286
11,400.0,6829,2083,6829,0.3884232142855237
13,400.0,6933,2135,6933,0.3864874999998126
15,400.0,7248,2162,7248,0.38417678571410274
17,400.0,7161,2150,7161,0.38230535714267705
19,400.0,7332,2033,7332,0.3803124999998226
21,400.0,7931,2041,7931,0.37798749999982795
23,400.0,6933,2121,6933,0.37622142857125934
25,400.0,6860,2119,6860,0.37339821428555126
27,400.0,7198,2148,7198,0.3719339285712685
29,400.0,7989,2048,7989,0.37003928571412903
31,400.0,7501,2064,7501,0.3665642857141356
33,400.0,7158,2052,7158,0.36525178571413947
35,400.0,7727,2071,7727,0.36206249999986057
37,400.0,7786,2130,7786,0.360860714285578
39,400.0,7894,2080,7894,0.35834107142843974
41,400.0,7586,2145,7586,0.3559017857141614
43,400.0,7599,2143,7599,0.3544178571427362
45,400.0,7443,2163,7443,0.35164821428560167
47,400.0,7097,2135,7097,0.35019999999989077
49,400.0,6999,2156,6999,0.3486964285713234
2,400.0,4430,2348,4430,0.39935714285693613
4,400.0,6312,2251,6312,0.39670357142836865
6,400.0,6276,2082,6276,0.3945107142855143
8,400.0,7016,2129,7016,0.3917946428569472
10,400.0,6838,2101,6838,0.390042857142664
12,400.0,7856,2012,7856,0.38876249999980916
14,400.0,7598,2038,7598,0.38505714285695797
16,400.0,7544,2091,7544,0.38407142857124554
18,400.0,7006,2256,7006,0.380944642856965
20,400.0,7206,2064,7206,0.37832142857125495
22,400.0,6753,2176,6753,0.37760357142840006
24,400.0,7784,2146,7784,0.3743999999998342
26,400.0,8146,2023,8146,0.3726357142855518
28,400.0,7625,2092,7625,0.37014107142841435
30,400.0,7805,2058,7805,0.3685999999998466
32,400.0,7614,2152,7614,0.36689999999985035
34,400.0,6983,2202,6983,0.3636267857141431
36,400.0,7623,2044,7623,0.3621910714284314
38,400.0,7661,2066,7661,0.3593910714284391
40,400.0,7214,2153,7214,0.3583392857141563
42,400.0,7617,2085,7617,0.3562767857141606
44,400.0,6880,2199,6880,0.3526392857141691
46,400.0,7484,2116,7484,0.3510303571427443
48,400.0,7939,2077,7939,0.3478017857141815
50,400.0,7472,2121,7472,0.34623035714275685
