"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-19,"false",-19,1,70,1760744395,10,20,20,1.0,1.0,10
3,-19,"false",-19,3,70,1760748799,10,20,20,1.0,1.0,10
5,-19,"false",-19,5,70,1760751395,10,20,20,1.0,1.0,10
7,-19,"false",-19,7,70,1760753938,10,20,20,1.0,1.0,10
9,-19,"false",-19,9,70,1760756362,10,20,20,1.0,1.0,10
11,-19,"false",-19,11,70,1760758798,10,20,20,1.0,1.0,10
13,-19,"false",-19,13,70,1760760916,10,20,20,1.0,1.0,10
15,-19,"false",-19,15,70,1760763259,10,20,20,1.0,1.0,10
17,-19,"false",-19,17,70,1760765514,10,20,20,1.0,1.0,10
19,-19,"false",-19,19,70,1760767481,10,20,20,1.0,1.0,10
21,-19,"false",-19,21,70,1760769732,10,20,20,1.0,1.0,10
23,-19,"false",-19,23,70,1760771798,10,20,20,1.0,1.0,10
25,-19,"false",-19,25,70,1760774109,10,20,20,1.0,1.0,10
27,-19,"false",-19,27,70,1760776373,10,20,20,1.0,1.0,10
29,-19,"false",-19,29,70,1760778457,10,20,20,1.0,1.0,10
31,-19,"false",-19,31,70,1760780646,10,20,20,1.0,1.0,10
33,-19,"false",-19,33,70,1760782545,10,20,20,1.0,1.0,10
35,-19,"false",-19,35,70,1760784835,10,20,20,1.0,1.0,10
37,-19,"false",-19,37,70,1760786776,10,20,20,1.0,1.0,10
39,-19,"false",-19,39,70,1760789061,10,20,20,1.0,1.0,10
41,-19,"false",-19,41,70,1760791199,10,20,20,1.0,1.0,10
43,-19,"false",-19,43,70,1760793274,10,20,20,1.0,1.0,10
45,-19,"false",-19,45,70,1760795569,10,20,20,1.0,1.0,10
47,-19,"false",-19,47,70,1760797819,10,20,20,1.0,1.0,10
49,-19,"false",-19,49,70,1760799839,10,20,20,1.0,1.0,10
2,-19,"false",-19,2,70,1760745344,10,20,20,1.0,1.0,10
4,-19,"false",-19,4,70,1760749678,10,20,20,1.0,1.0,10
6,-19,"false",-19,6,70,1760752107,10,20,20,1.0,1.0,10
8,-19,"false",-19,8,70,1760754460,10,20,20,1.0,1.0,10
10,-19,"false",-19,10,70,1760756798,10,20,20,1.0,1.0,10
12,-19,"false",-19,12,70,1760759152,10,20,20,1.0,1.0,10
14,-19,"false",-19,14,70,1760761267,10,20,20,1.0,1.0,10
16,-19,"false",-19,16,70,1760763497,10,20,20,1.0,1.0,10
18,-19,"false",-19,18,70,1760765762,10,20,20,1.0,1.0,10
20,-19,"false",-19,20,70,1760767660,10,20,20,1.0,1.0,10
22,-19,"false",-19,22,70,1760769752,10,20,20,1.0,1.0,10
24,-19,"false",-19,24,70,1760771774,10,20,20,1.0,1.0,10
26,-19,"false",-19,26,70,1760774080,10,20,20,1.0,1.0,10
28,-19,"false",-19,28,70,1760776282,10,20,20,1.0,1.0,10
30,-19,"false",-19,30,70,1760778322,10,20,20,1.0,1.0,10
32,-19,"false",-19,32,70,1760780525,10,20,20,1.0,1.0,10
34,-19,"false",-19,34,70,1760782415,10,20,20,1.0,1.0,10
36,-19,"false",-19,36,70,1760784675,10,20,20,1.0,1.0,10
38,-19,"false",-19,38,70,1760786564,10,20,20,1.0,1.0,10
40,-19,"false",-19,40,70,1760788821,10,20,20,1.0,1.0,10
42,-19,"false",-19,42,70,1760790899,10,20,20,1.0,1.0,10
44,-19,"false",-19,44,70,1760793086,10,20,20,1.0,1.0,10
46,-19,"false",-19,46,70,1760795340,10,20,20,1.0,1.0,10
48,-19,"false",-19,48,70,1760797462,10,20,20,1.0,1.0,10
50,-19,"false",-19,50,70,1760799500,10,20,20,1.0,1.0,10
