"run","default_observer_minPycor","isTrafficLights","default_observer_minPxcor","percentageOfCarsWithLessAcceleration","maxCarNumber","randomSeed","roadLength","default_observer_maxPycor","default_observer_maxPxcor","maxCarSpeed","maxCarAcceleration","trafficLightsChangeDuration"
1,-19,"true",-19,0,70,1770135599,10,20,20,1.0,1.0,1
3,-19,"true",-19,0,70,1770141438,10,20,20,1.0,1.0,3
5,-19,"true",-19,0,70,1770144533,10,20,20,1.0,1.0,5
7,-19,"true",-19,0,70,1770147378,10,20,20,1.0,1.0,7
9,-19,"true",-19,0,70,1770150230,10,20,20,1.0,1.0,9
11,-19,"true",-19,0,70,1770153075,10,20,20,1.0,1.0,11
13,-19,"true",-19,0,70,1770155812,10,20,20,1.0,1.0,13
15,-19,"true",-19,0,70,1770158537,10,20,20,1.0,1.0,15
17,-19,"true",-19,0,70,1770161141,10,20,20,1.0,1.0,17
19,-19,"true",-19,0,70,1770163706,10,20,20,1.0,1.0,19
21,-19,"true",-19,0,70,1770166391,10,20,20,1.0,1.0,21
23,-19,"true",-19,0,70,1770169052,10,20,20,1.0,1.0,23
25,-19,"true",-19,0,70,1770171759,10,20,20,1.0,1.0,25
27,-19,"true",-19,0,70,1770174484,10,20,20,1.0,1.0,27
29,-19,"true",-19,0,70,1770177244,10,20,20,1.0,1.0,29
31,-19,"true",-19,0,70,1770179909,10,20,20,1.0,1.0,31
33,-19,"true",-19,0,70,1770182560,10,20,20,1.0,1.0,33
35,-19,"true",-19,0,70,1770185212,10,20,20,1.0,1.0,35
37,-19,"true",-19,0,70,1770187862,10,20,20,1.0,1.0,37
39,-19,"true",-19,0,70,1770190091,10,20,20,1.0,1.0,39
2,-19,"true",-19,0,70,1770135556,10,20,20,1.0,1.0,2
4,-19,"true",-19,0,70,1770141026,10,20,20,1.0,1.0,4
6,-19,"true",-19,0,70,1770143752,10,20,20,1.0,1.0,6
8,-19,"true",-19,0,70,1770146497,10,20,20,1.0,1.0,8
10,-19,"true",-19,0,70,1770148964,10,20,20,1.0,1.0,10
12,-19,"true",-19,0,70,1770151473,10,20,20,1.0,1.0,12
14,-19,"true",-19,0,70,1770153806,10,20,20,1.0,1.0,14
16,-19,"true",-19,0,70,1770156259,10,20,20,1.0,1.0,16
18,-19,"true",-19,0,70,1770158757,10,20,20,1.0,1.0,18
20,-19,"true",-19,0,70,1770161226,10,20,20,1.0,1.0,20
22,-19,"true",-19,0,70,1770163614,10,20,20,1.0,1.0,22
24,-19,"true",-19,0,70,1770165974,10,20,20,1.0,1.0,24
26,-19,"true",-19,0,70,1770168432,10,20,20,1.0,1.0,26
28,-19,"true",-19,0,70,1770171006,10,20,20,1.0,1.0,28
30,-19,"true",-19,0,70,1770173338,10,20,20,1.0,1.0,30
32,-19,"true",-19,0,70,1770175637,10,20,20,1.0,1.0,32
34,-19,"true",-19,0,70,1770178077,10,20,20,1.0,1.0,34
36,-19,"true",-19,0,70,1770180527,10,20,20,1.0,1.0,36
38,-19,"true",-19,0,70,1770183004,10,20,20,1.0,1.0,38
40,-19,"true",-19,0,70,1770185287,10,20,20,1.0,1.0,40
