"run","tick","calculateAverageWaitTime","averageSumOfCarsThatCrossCrossing","calculateAmountOfStoppedCars","calculateAverageCarsSpeed"
1,400.0,3983,2407,3983,0.2996357143
3,400.0,5200,2290,5200,0.2995285714
5,400.0,4147,2378,4147,0.2993785714
7,400.0,4678,2330,4678,0.2994
9,400.0,5172,2321,5172,0.2989928571
11,400.0,6004,2214,6004,0.2991857143
13,400.0,5663,2245,5663,0.299025
15,400.0,5627,2261,5627,0.2989821429
17,400.0,6200,2215,6200,0.2992821429
19,400.0,6298,2194,6298,0.298725
21,400.0,6887,2119,6887,0.2982857143
23,400.0,7938,2033,7938,0.2979321429
25,400.0,7005,2122,7005,0.2992392857
27,400.0,7820,2033,7820,0.2991535714
29,400.0,6738,2154,6738,0.2987678571
31,400.0,8528,1979,8528,0.298425
33,400.0,9063,1891,9063,0.2990142857
35,400.0,9666,1890,9666,0.2977928571
37,400.0,9381,1883,9381,0.2990357143
39,400.0,11002,1857,11002,0.2970321429
2,400.0,4412,2363,4412,0.2994964286
4,400.0,4831,2295,4831,0.2995607143
6,400.0,4152,2382,4152,0.2994964286
8,400.0,4717,2357,4717,0.2989928571
10,400.0,4593,2359,4593,0.2995607143
12,400.0,5525,2282,5525,0.2991964286
14,400.0,5580,2251,5580,0.2989714286
16,400.0,5828,2237,5828,0.2992821429
18,400.0,5618,2272,5618,0.2993892857
20,400.0,6510,2185,6510,0.2984785714
22,400.0,7110,2143,7110,0.2980821429
24,400.0,6424,2185,6424,0.299025
26,400.0,7485,2083,7485,0.2974607143
28,400.0,9051,1925,9051,0.2989392857
30,400.0,9393,1875,9393,0.2985964286
32,400.0,7520,2089,7520,0.2990464286
34,400.0,9250,1920,9250,0.2979535714
36,400.0,8984,1933,8984,0.2973964286
38,400.0,8350,2022,8350,0.2984785714
40,400.0,9696,1851,9696,0.2976428571
